comparison_scope,analysis_role,model_id,denominator_family,task_stratum,source_condition,error_class,error_consequence,row_n,scored_n,incorrect_n,correct_n,incorrect_rate_within_group
model_explicit_available_rows,supplementary_cross_model_sensitivity,claude:sonnet,absence_or_blank_consensus,blank_or_absence_consensus,blank_or_absence_consensus,blank_consensus_nonblank_answer,high_masem_related,478,478,478,0,1.000000
model_explicit_available_rows,supplementary_cross_model_sensitivity,claude:sonnet,absence_or_blank_consensus,blank_or_absence_consensus,blank_or_absence_consensus,not_scored_no_locked_answer,high_masem_related,5934,0,0,0,
model_explicit_available_rows,supplementary_cross_model_sensitivity,claude:sonnet,construct_or_sample_mapping_decision,source_evidence_and_locator_present,source_evidence_and_locator_present,abstention_on_scorable_row,high_masem_related,2,2,2,0,1.000000
model_explicit_available_rows,supplementary_cross_model_sensitivity,claude:sonnet,converted_or_model_derived_effect_size,converted_or_source_statistic_beta,converted_or_source_statistic_beta,abstention_on_scorable_row,high_numeric_or_masem_input,30,30,30,0,1.000000
model_explicit_available_rows,supplementary_cross_model_sensitivity,claude:sonnet,converted_or_model_derived_effect_size,converted_or_source_statistic_beta_path_converted_by_human_consensus,converted_or_source_statistic_beta_path_converted_by_human_consensus,abstention_on_scorable_row,high_numeric_or_masem_input,53,53,53,0,1.000000
model_explicit_available_rows,supplementary_cross_model_sensitivity,claude:sonnet,converted_or_model_derived_effect_size,converted_or_source_statistic_numeric_source_statistic_converted_by_human_consensus,converted_or_source_statistic_numeric_source_statistic_converted_by_human_consensus,abstention_on_scorable_row,high_numeric_or_masem_input,5,5,5,0,1.000000
model_explicit_available_rows,supplementary_cross_model_sensitivity,claude:sonnet,direct_r_effect_size_extraction,source_blank_direct_r,source_blank_direct_r,abstention_on_scorable_row,high_numeric_or_masem_input,43,43,43,0,1.000000
model_explicit_available_rows,supplementary_cross_model_sensitivity,claude:sonnet,direct_r_effect_size_extraction,source_reported_direct_r,source_reported_direct_r,abstention_on_scorable_row,high_numeric_or_masem_input,320,320,320,0,1.000000
model_explicit_available_rows,supplementary_cross_model_sensitivity,claude:sonnet,direct_r_effect_size_extraction,source_reported_direct_r,source_reported_direct_r,numeric_within_0_005,high_numeric_or_masem_input,3,3,0,3,0.000000
model_explicit_available_rows,supplementary_cross_model_sensitivity,claude:sonnet,eligibility_or_exclusion_decision,source_evidence_and_locator_present,source_evidence_and_locator_present,policy_or_label_mismatch,review_decision,5,5,5,0,1.000000
model_explicit_available_rows,supplementary_cross_model_sensitivity,claude:sonnet,human_disagreement_trace,human_disagreement_trace,human_disagreement_trace,abstention_on_scorable_row,high_masem_related,108,108,108,0,1.000000
model_explicit_available_rows,supplementary_cross_model_sensitivity,claude:sonnet,human_disagreement_trace,human_disagreement_trace,human_disagreement_trace,trace_response_behavior,high_masem_related,359,359,359,0,1.000000
model_explicit_available_rows,supplementary_cross_model_sensitivity,claude:sonnet,metadata_extraction,metadata_ai_tool_name,source_evidence_and_locator_present,abstention_on_scorable_row,moderate_metadata_or_mapping,47,47,47,0,1.000000
model_explicit_available_rows,supplementary_cross_model_sensitivity,claude:sonnet,metadata_extraction,metadata_ai_tool_name,source_evidence_and_locator_present,metadata_mismatch,moderate_metadata_or_mapping,5,5,5,0,1.000000
model_explicit_available_rows,supplementary_cross_model_sensitivity,claude:sonnet,metadata_extraction,metadata_ai_tool_name,source_evidence_and_locator_present,metadata_strict_match,moderate_metadata_or_mapping,1,1,0,1,0.000000
model_explicit_available_rows,supplementary_cross_model_sensitivity,claude:sonnet,metadata_extraction,metadata_ai_tool_name,source_evidence_and_locator_present,not_scored_no_locked_answer,moderate_metadata_or_mapping,3,0,0,0,
model_explicit_available_rows,supplementary_cross_model_sensitivity,claude:sonnet,metadata_extraction,metadata_ai_type,source_evidence_and_locator_present,abstention_on_scorable_row,moderate_metadata_or_mapping,54,54,54,0,1.000000
model_explicit_available_rows,supplementary_cross_model_sensitivity,claude:sonnet,metadata_extraction,metadata_ai_type,source_evidence_and_locator_present,metadata_mismatch,moderate_metadata_or_mapping,3,3,3,0,1.000000
model_explicit_available_rows,supplementary_cross_model_sensitivity,claude:sonnet,metadata_extraction,metadata_ai_type,source_evidence_and_locator_present,not_scored_no_locked_answer,moderate_metadata_or_mapping,1,0,0,0,
model_explicit_available_rows,supplementary_cross_model_sensitivity,claude:sonnet,metadata_extraction,metadata_common_method_bias,source_evidence_and_locator_present,abstention_on_scorable_row,moderate_metadata_or_mapping,53,53,53,0,1.000000
model_explicit_available_rows,supplementary_cross_model_sensitivity,claude:sonnet,metadata_extraction,metadata_common_method_bias,source_evidence_and_locator_present,metadata_mismatch,moderate_metadata_or_mapping,1,1,1,0,1.000000
model_explicit_available_rows,supplementary_cross_model_sensitivity,claude:sonnet,metadata_extraction,metadata_common_method_bias,source_evidence_and_locator_present,metadata_strict_match,moderate_metadata_or_mapping,1,1,0,1,0.000000
model_explicit_available_rows,supplementary_cross_model_sensitivity,claude:sonnet,metadata_extraction,metadata_construct_count,source_evidence_and_locator_present,metadata_strict_match,moderate_metadata_or_mapping,3,3,0,3,0.000000
model_explicit_available_rows,supplementary_cross_model_sensitivity,claude:sonnet,metadata_extraction,metadata_construct_count,source_evidence_and_locator_present,not_scored_no_locked_answer,moderate_metadata_or_mapping,1,0,0,0,
model_explicit_available_rows,supplementary_cross_model_sensitivity,claude:sonnet,metadata_extraction,metadata_country,source_evidence_and_locator_present,abstention_on_scorable_row,moderate_metadata_or_mapping,19,19,19,0,1.000000
model_explicit_available_rows,supplementary_cross_model_sensitivity,claude:sonnet,metadata_extraction,metadata_country,source_evidence_and_locator_present,metadata_mismatch,moderate_metadata_or_mapping,2,2,2,0,1.000000
model_explicit_available_rows,supplementary_cross_model_sensitivity,claude:sonnet,metadata_extraction,metadata_data_collection,source_evidence_and_locator_present,abstention_on_scorable_row,moderate_metadata_or_mapping,3,3,3,0,1.000000
model_explicit_available_rows,supplementary_cross_model_sensitivity,claude:sonnet,metadata_extraction,metadata_data_collection,source_evidence_and_locator_present,metadata_mismatch,moderate_metadata_or_mapping,2,2,2,0,1.000000
model_explicit_available_rows,supplementary_cross_model_sensitivity,claude:sonnet,metadata_extraction,metadata_data_collection,source_evidence_and_locator_present,metadata_strict_match,moderate_metadata_or_mapping,1,1,0,1,0.000000
model_explicit_available_rows,supplementary_cross_model_sensitivity,claude:sonnet,metadata_extraction,metadata_education_level,source_evidence_and_locator_present,abstention_on_scorable_row,moderate_metadata_or_mapping,30,30,30,0,1.000000
model_explicit_available_rows,supplementary_cross_model_sensitivity,claude:sonnet,metadata_extraction,metadata_education_level,source_evidence_and_locator_present,metadata_mismatch,moderate_metadata_or_mapping,4,4,4,0,1.000000
model_explicit_available_rows,supplementary_cross_model_sensitivity,claude:sonnet,metadata_extraction,metadata_education_level,source_evidence_and_locator_present,metadata_relaxed_match_only,moderate_metadata_or_mapping,1,1,1,0,1.000000
model_explicit_available_rows,supplementary_cross_model_sensitivity,claude:sonnet,metadata_extraction,metadata_education_level,source_evidence_and_locator_present,metadata_strict_match,moderate_metadata_or_mapping,4,4,0,4,0.000000
