study_id,phase_block,pair,n,source_pdf_status,source_location_checked,row_draft_status,n_reference_draft_rows,primary_coder_source,evidence_type,mapping_confidence_summary,construct_mapping_decision,excluded_constructs_or_rows,remaining_caveat,next_action,evidence_basis
S058,phase2,Pair C,541,exact_local_pdf_available_text_extraction_checked_not_committed,selected coder source locations and exact local PDF availability; final visual audit retained where row source-location strings are blank,reference_draft_created_from_R1_beta_converted_table4_rows,6,R1,6 standardized_path_beta_converted,6 medium,Use R1 source-located Table 4 beta-converted rows; R4 raw path-coefficient rows are not drafted.,Non-selected coder row set(s) not drafted: R4,beta-converted path rows; retain beta-conversion caveat in final freeze audit,Carry batch4 phase2 source-checked row draft into full-corpus freeze audit after all batch4 sub-batches are complete; do not start Step 5.,full_corpus_residual_batch4_phase2_pairC_reference_draft_20260608.csv; combined_coder_values_long_20260525.csv; full_corpus_residual_batch45_execution_manifest_20260608.csv; exact local PDF availability/text extraction check 20260608
S069,phase2,Pair C,597,exact_local_pdf_available_text_extraction_checked_not_committed,selected coder source locations and exact local PDF availability; final visual audit retained where row source-location strings are blank,reference_draft_created_from_R1_table2_direct_rows,6,R1,6 source_reported_direct_correlation_or_latent_correlation,6 high,Use R1 Table 2 direct/Fornell-Larcker row set; R4 duplicates values but lacks source-location strings.,Non-selected coder row set(s) not drafted: R4,Routine final full-corpus freeze audit; retained rows are source-coder traceable.,Carry batch4 phase2 source-checked row draft into full-corpus freeze audit after all batch4 sub-batches are complete; do not start Step 5.,full_corpus_residual_batch4_phase2_pairC_reference_draft_20260608.csv; combined_coder_values_long_20260525.csv; full_corpus_residual_batch45_execution_manifest_20260608.csv; exact local PDF availability/text extraction check 20260608
S070,phase2,Pair C,245,exact_local_pdf_available_text_extraction_checked_not_committed,selected coder source locations and exact local PDF availability; final visual audit retained where row source-location strings are blank,reference_draft_created_from_R1_figure3_figure4_direct_rows,15,R1,15 source_reported_direct_correlation_or_latent_correlation,15 high,Use R1 source-located Figure 3/Figure 4 direct latent-correlation rows; reject R4 mixed beta/direct subset for overlapping BI/UB rows.,Non-selected coder row set(s) not drafted: R4,Routine final full-corpus freeze audit; retained rows are source-coder traceable.,Carry batch4 phase2 source-checked row draft into full-corpus freeze audit after all batch4 sub-batches are complete; do not start Step 5.,full_corpus_residual_batch4_phase2_pairC_reference_draft_20260608.csv; combined_coder_values_long_20260525.csv; full_corpus_residual_batch45_execution_manifest_20260608.csv; exact local PDF availability/text extraction check 20260608
S089,phase2,Pair C,322,exact_local_pdf_available_text_extraction_checked_not_committed,selected coder source locations and exact local PDF availability; final visual audit retained where row source-location strings are blank,reference_draft_created_from_R1_beta_converted_table8_rows,5,R1,5 standardized_path_beta_converted,5 medium,Use R1 source-located Table 8 beta-converted rows; R4 raw beta rows are not drafted.,Non-selected coder row set(s) not drafted: R4,beta-converted path rows; retain beta-conversion caveat in final freeze audit,Carry batch4 phase2 source-checked row draft into full-corpus freeze audit after all batch4 sub-batches are complete; do not start Step 5.,full_corpus_residual_batch4_phase2_pairC_reference_draft_20260608.csv; combined_coder_values_long_20260525.csv; full_corpus_residual_batch45_execution_manifest_20260608.csv; exact local PDF availability/text extraction check 20260608
S093,phase2,Pair C,127,exact_local_pdf_available_text_extraction_checked_not_committed,selected coder source locations and exact local PDF availability; final visual audit retained where row source-location strings are blank,reference_draft_created_from_R1_beta_converted_table3_rows,6,R1,6 standardized_path_beta_converted,6 medium,Use R1 source-located Table 3 beta-converted rows; R4 path-coefficient rows are not drafted.,Non-selected coder row set(s) not drafted: R4,beta-converted path rows; retain beta-conversion caveat in final freeze audit,Carry batch4 phase2 source-checked row draft into full-corpus freeze audit after all batch4 sub-batches are complete; do not start Step 5.,full_corpus_residual_batch4_phase2_pairC_reference_draft_20260608.csv; combined_coder_values_long_20260525.csv; full_corpus_residual_batch45_execution_manifest_20260608.csv; exact local PDF availability/text extraction check 20260608
S112,phase2,Pair C,500,exact_local_pdf_available_text_extraction_checked_not_committed,selected coder source locations and exact local PDF availability; final visual audit retained where row source-location strings are blank,reference_draft_created_from_R1_beta_converted_table9_rows,7,R1,7 standardized_path_beta_converted,7 medium,Use R1 source-located Table 9 beta-converted rows; R4 raw beta rows are not drafted.,Non-selected coder row set(s) not drafted: R4,beta-converted path rows; retain beta-conversion caveat in final freeze audit,Carry batch4 phase2 source-checked row draft into full-corpus freeze audit after all batch4 sub-batches are complete; do not start Step 5.,full_corpus_residual_batch4_phase2_pairC_reference_draft_20260608.csv; combined_coder_values_long_20260525.csv; full_corpus_residual_batch45_execution_manifest_20260608.csv; exact local PDF availability/text extraction check 20260608
S113,phase2,Pair C,118,exact_local_pdf_available_text_extraction_checked_not_committed,selected coder source locations and exact local PDF availability; final visual audit retained where row source-location strings are blank,reference_draft_created_from_R1_mixed_table5_direct_and_table7_beta_converted_rows,6,R1,4 source_reported_direct_correlation_or_latent_correlation; 2 standardized_path_beta_converted,6 medium,Use R1 mixed source row set: Table 5 direct rows plus Table 7 beta-converted BI rows; R4 beta subset is not drafted.,Non-selected coder row set(s) not drafted: R4,mixed direct and beta-converted rows; retain source-type caveat in final freeze audit,Carry batch4 phase2 source-checked row draft into full-corpus freeze audit after all batch4 sub-batches are complete; do not start Step 5.,full_corpus_residual_batch4_phase2_pairC_reference_draft_20260608.csv; combined_coder_values_long_20260525.csv; full_corpus_residual_batch45_execution_manifest_20260608.csv; exact local PDF availability/text extraction check 20260608
S129,phase2,Pair C,300,exact_local_pdf_available_text_extraction_checked_not_committed,selected coder source locations and exact local PDF availability; final visual audit retained where row source-location strings are blank,reference_draft_created_from_R1_beta_converted_table5_rows,9,R1,9 standardized_path_beta_converted,9 medium,Use R1 source-located Table 5 beta-converted rows; R4 raw beta rows are not drafted.,Non-selected coder row set(s) not drafted: R4,beta-converted path rows; retain beta-conversion caveat in final freeze audit,Carry batch4 phase2 source-checked row draft into full-corpus freeze audit after all batch4 sub-batches are complete; do not start Step 5.,full_corpus_residual_batch4_phase2_pairC_reference_draft_20260608.csv; combined_coder_values_long_20260525.csv; full_corpus_residual_batch45_execution_manifest_20260608.csv; exact local PDF availability/text extraction check 20260608
S134,phase2,Pair C,506,exact_local_pdf_available_text_extraction_checked_not_committed,selected coder source locations and exact local PDF availability; final visual audit retained where row source-location strings are blank,reference_draft_created_from_R1_beta_converted_tables8_9_rows,6,R1,6 standardized_path_beta_converted,6 medium,Use R1 source-located Tables 8-9 beta-converted rows; R4 raw beta rows are not drafted.,Non-selected coder row set(s) not drafted: R4,beta-converted regression/path rows; retain beta-conversion caveat in final freeze audit,Carry batch4 phase2 source-checked row draft into full-corpus freeze audit after all batch4 sub-batches are complete; do not start Step 5.,full_corpus_residual_batch4_phase2_pairC_reference_draft_20260608.csv; combined_coder_values_long_20260525.csv; full_corpus_residual_batch45_execution_manifest_20260608.csv; exact local PDF availability/text extraction check 20260608
S148,phase2,Pair C,603,exact_local_pdf_available_text_extraction_checked_not_committed,selected coder source locations and exact local PDF availability; final visual audit retained where row source-location strings are blank,reference_draft_created_from_R4_complete_direct_rows_with_final_visual_caveat,5,R4,5 source_reported_direct_correlation_or_latent_correlation,5 medium,Use R4 complete direct row set; R1 contains only one source-located beta-converted ATT-BI row. Final visual audit should confirm source table labels because selected rows lack source-location strings.,Non-selected coder row set(s) not drafted: R1,selected rows are direct values but final visual table-label audit remains required,Carry batch4 phase2 source-checked row draft into full-corpus freeze audit after all batch4 sub-batches are complete; do not start Step 5.,full_corpus_residual_batch4_phase2_pairC_reference_draft_20260608.csv; combined_coder_values_long_20260525.csv; full_corpus_residual_batch45_execution_manifest_20260608.csv; exact local PDF availability/text extraction check 20260608
