study_id,phase_block,pair,title,current_progress_status,source_gap_category,precondition_action,terminal_status_target,decision_source,evidence_basis,next_action,notes
S005,phase1,Pair A,Just learn it? How individual differences and HMSAM impact learners' intention t,phase1_rule_decision_row_filter_or_source_audit_queue,phase1_logged_decision_or_progress_pending_step4_application,row_filter_source_audit,included_or_excluded_after_source_audit,phase1_decision_log_20260424_or_progress_audit_queue,data/04_extraction/04_reference_standard_freeze/phase1_rule_progress_audit_queue_20260608.csv; data/04_extraction/03_source_document_adjudication/phase1/decision_log_20260424.md; phase1_logged_decision_application_summary_20260608.md,Apply logged rule: exclude JOY and do not map CON to FC; source-check retained rows before draft.,Not a terminal blocker yet; do not finalize until source/value audit is applied.
S011,phase1,Pair A,Modeling Chinese EFL learners' intention to use generative AI for L2 writing thr,phase1_rule_decision_row_filter_or_source_audit_queue,phase1_logged_decision_or_progress_pending_step4_application,row_filter_source_audit,included_or_excluded_after_source_audit,phase1_decision_log_20260424_or_progress_audit_queue,data/04_extraction/04_reference_standard_freeze/phase1_rule_progress_audit_queue_20260608.csv; data/04_extraction/03_source_document_adjudication/phase1/decision_log_20260424.md; phase1_logged_decision_application_summary_20260608.md,Apply logged rule: keep structural TAM paths only; exclude TTF paths from FC mapping.,Not a terminal blocker yet; do not finalize until source/value audit is applied.
S044,phase1,Pair A,The predictive effect of nursing students' attitudes and acceptance towards arti,phase1_rule_decision_row_filter_or_source_audit_queue,phase1_logged_decision_or_progress_pending_step4_application,row_filter_source_audit,included_or_excluded_after_source_audit,phase1_decision_log_20260424_or_progress_audit_queue,data/04_extraction/04_reference_standard_freeze/phase1_rule_progress_audit_queue_20260608.csv; data/04_extraction/03_source_document_adjudication/phase1/decision_log_20260424.md; phase1_logged_decision_application_summary_20260608.md,Apply logged rule: map GAAIS Positive Attitudes to ATT; do not average negative attitudes into primary ATT.,Not a terminal blocker yet; do not finalize until source/value audit is applied.
S079,phase1,Pair A,Key Factors Influencing Preservice Chinese Teachers' Willingness for Implementin,phase1_rule_decision_row_filter_or_source_audit_queue,phase1_logged_decision_or_progress_pending_step4_application,row_filter_source_type_audit,included_or_excluded_after_source_audit,phase1_decision_log_20260424_or_progress_audit_queue,data/04_extraction/04_reference_standard_freeze/phase1_rule_progress_audit_queue_20260608.csv; data/04_extraction/03_source_document_adjudication/phase1/decision_log_20260424.md; phase1_logged_decision_application_summary_20260608.md,Apply logged rule: relevant effects are path coefficients; decide retained row/status handling under source-type rules.,Not a terminal blocker yet; do not finalize until source/value audit is applied.
S087,phase1,Pair A,"Impact of technology literacy, information literacy, and user satisfaction on th",phase1_rule_decision_row_filter_or_source_audit_queue,phase1_logged_decision_or_progress_pending_step4_application,row_filter_source_audit,included_or_excluded_after_source_audit,phase1_decision_log_20260424_or_progress_audit_queue,data/04_extraction/04_reference_standard_freeze/phase1_rule_progress_audit_queue_20260608.csv; data/04_extraction/03_source_document_adjudication/phase1/decision_log_20260424.md; phase1_logged_decision_application_summary_20260608.md,Apply logged rule: exclude Satisfaction from ATT after 2026-04-29 amendment.,Not a terminal blocker yet; do not finalize until source/value audit is applied.
S166,phase1,Pair A,Understanding University Students' Acceptance of ChatGPT: Insights from the UTAU,phase1_rule_decision_row_filter_or_source_audit_queue,phase1_logged_decision_or_progress_pending_step4_application,row_filter_source_type_audit,included_or_excluded_after_source_audit,phase1_decision_log_20260424_or_progress_audit_queue,data/04_extraction/04_reference_standard_freeze/phase1_rule_progress_audit_queue_20260608.csv; data/04_extraction/03_source_document_adjudication/phase1/decision_log_20260424.md; phase1_logged_decision_application_summary_20260608.md,HTMT/structural-path case; audit source type and beta-converted target paths before retention.,Not a terminal blocker yet; do not finalize until source/value audit is applied.
S187,phase1,Pair A,Acceptance of artificial intelligence and its effect on entrepreneurial intentio,phase1_rule_decision_row_filter_or_source_audit_queue,phase1_logged_decision_or_progress_pending_step4_application,row_filter_source_audit,included_or_excluded_after_source_audit,phase1_decision_log_20260424_or_progress_audit_queue,data/04_extraction/04_reference_standard_freeze/phase1_rule_progress_audit_queue_20260608.csv; data/04_extraction/03_source_document_adjudication/phase1/decision_log_20260424.md; phase1_logged_decision_application_summary_20260608.md,Apply logged rule: map stress/anxious wording to ANX with traceability flag; source-check affected rows.,Not a terminal blocker yet; do not finalize until source/value audit is applied.
S223,phase1,Pair A,Understanding key drivers affecting students' use of artificial intelligence-bas,phase1_rule_decision_row_filter_or_source_audit_queue,phase1_logged_decision_or_progress_pending_step4_application,source_value_audit,included_or_excluded_after_source_audit,phase1_decision_log_20260424_or_progress_audit_queue,data/04_extraction/04_reference_standard_freeze/phase1_rule_progress_audit_queue_20260608.csv; data/04_extraction/03_source_document_adjudication/phase1/decision_log_20260424.md; phase1_logged_decision_application_summary_20260608.md,R1-coded value accepted in log; row set still needs source/value confirmation.,Not a terminal blocker yet; do not finalize until source/value audit is applied.
S086,phase1,Pair A,Investigating the factors influencing the adoption and use of artificial intelli,phase1_progress_only_source_value_audit_queue,phase1_logged_decision_or_progress_pending_step4_application,source_value_audit,included_or_excluded_after_source_audit,phase1_decision_log_20260424_or_progress_audit_queue,data/04_extraction/04_reference_standard_freeze/phase1_rule_progress_audit_queue_20260608.csv; data/04_extraction/03_source_document_adjudication/phase1/decision_log_20260424.md; phase1_logged_decision_application_summary_20260608.md,Progress-only case; source-value audit required before any freeze-layer row creation.,Not a terminal blocker yet; do not finalize until source/value audit is applied.
S168,phase1,Pair A,To use or not to use ChatGPT in higher education? A study of students' acceptanc,phase1_progress_only_source_value_audit_queue,phase1_logged_decision_or_progress_pending_step4_application,source_value_audit,included_or_excluded_after_source_audit,phase1_decision_log_20260424_or_progress_audit_queue,data/04_extraction/04_reference_standard_freeze/phase1_rule_progress_audit_queue_20260608.csv; data/04_extraction/03_source_document_adjudication/phase1/decision_log_20260424.md; phase1_logged_decision_application_summary_20260608.md,Progress-only case; source-value audit required before any freeze-layer row creation.,Not a terminal blocker yet; do not finalize until source/value audit is applied.
