run_id,model_provider,model_id,denominator_family,scored_n,correct_n,accuracy,not_scored_n
paper_b_full_corpus_m1_raw_full_0000_0249_20260612,openai,codex:gpt-5.5,primary_direct_r_or_source_reported_correlation,79,49,0.620253,0
paper_b_full_corpus_m1_raw_full_0000_0249_20260612,openai,codex:gpt-5.5,primary_latent_or_construct_correlation_with_source_type_flag,112,63,0.562500,0
paper_b_full_corpus_m1_raw_full_0000_0249_20260612,openai,codex:gpt-5.5,secondary_beta_or_path_converted_effect_size,49,18,0.367347,0
paper_b_full_corpus_m1_raw_full_0000_0249_s013_repair_20260612,openai,codex:gpt-5.5,primary_direct_r_or_source_reported_correlation,10,9,0.900000,0
paper_b_full_corpus_m1_raw_full_0250_0499_20260612,openai,codex:gpt-5.5,primary_direct_r_or_source_reported_correlation,121,102,0.842975,0
paper_b_full_corpus_m1_raw_full_0250_0499_20260612,openai,codex:gpt-5.5,primary_latent_or_construct_correlation_with_source_type_flag,111,87,0.783784,0
paper_b_full_corpus_m1_raw_full_0250_0499_20260612,openai,codex:gpt-5.5,secondary_beta_or_path_converted_effect_size,18,15,0.833333,0
paper_b_full_corpus_m1_raw_full_0500_0749_20260612,openai,codex:gpt-5.5,primary_direct_r_or_source_reported_correlation,34,33,0.970588,0
paper_b_full_corpus_m1_raw_full_0500_0749_20260612,openai,codex:gpt-5.5,primary_latent_or_construct_correlation_with_source_type_flag,140,99,0.707143,0
paper_b_full_corpus_m1_raw_full_0500_0749_20260612,openai,codex:gpt-5.5,secondary_beta_or_path_converted_effect_size,76,29,0.381579,0
paper_b_full_corpus_m1_raw_full_0750_0999_20260612,openai,codex:gpt-5.5,primary_direct_r_or_source_reported_correlation,70,38,0.542857,0
paper_b_full_corpus_m1_raw_full_0750_0999_20260612,openai,codex:gpt-5.5,primary_latent_or_construct_correlation_with_source_type_flag,96,71,0.739583,0
paper_b_full_corpus_m1_raw_full_0750_0999_20260612,openai,codex:gpt-5.5,secondary_beta_or_path_converted_effect_size,84,34,0.404762,0
paper_b_full_corpus_m1_raw_full_1000_1249_20260612,openai,codex:gpt-5.5,primary_direct_r_or_source_reported_correlation,132,75,0.568182,0
paper_b_full_corpus_m1_raw_full_1000_1249_20260612,openai,codex:gpt-5.5,primary_latent_or_construct_correlation_with_source_type_flag,66,56,0.848485,0
paper_b_full_corpus_m1_raw_full_1000_1249_20260612,openai,codex:gpt-5.5,secondary_beta_or_path_converted_effect_size,52,8,0.153846,0
paper_b_full_corpus_m1_raw_full_1250_1499_20260612,openai,codex:gpt-5.5,primary_direct_r_or_source_reported_correlation,111,81,0.729730,0
paper_b_full_corpus_m1_raw_full_1250_1499_20260612,openai,codex:gpt-5.5,primary_latent_or_construct_correlation_with_source_type_flag,115,85,0.739130,0
paper_b_full_corpus_m1_raw_full_1250_1499_20260612,openai,codex:gpt-5.5,secondary_beta_or_path_converted_effect_size,24,9,0.375000,0
paper_b_full_corpus_m1_raw_full_1500_1749_20260612,openai,codex:gpt-5.5,primary_direct_r_or_source_reported_correlation,41,34,0.829268,0
paper_b_full_corpus_m1_raw_full_1500_1749_20260612,openai,codex:gpt-5.5,primary_latent_or_construct_correlation_with_source_type_flag,163,109,0.668712,0
paper_b_full_corpus_m1_raw_full_1500_1749_20260612,openai,codex:gpt-5.5,secondary_beta_or_path_converted_effect_size,46,17,0.369565,0
paper_b_full_corpus_m1_raw_full_1750_1999_20260612,openai,codex:gpt-5.5,primary_direct_r_or_source_reported_correlation,98,95,0.969388,0
paper_b_full_corpus_m1_raw_full_1750_1999_20260612,openai,codex:gpt-5.5,primary_latent_or_construct_correlation_with_source_type_flag,92,67,0.728261,0
paper_b_full_corpus_m1_raw_full_1750_1999_20260612,openai,codex:gpt-5.5,secondary_beta_or_path_converted_effect_size,60,23,0.383333,0
paper_b_full_corpus_m1_raw_full_2000_2042_20260612,openai,codex:gpt-5.5,primary_direct_r_or_source_reported_correlation,1,1,1.000000,0
paper_b_full_corpus_m1_raw_full_2000_2042_20260612,openai,codex:gpt-5.5,primary_latent_or_construct_correlation_with_source_type_flag,36,35,0.972222,0
paper_b_full_corpus_m1_raw_full_2000_2042_20260612,openai,codex:gpt-5.5,secondary_beta_or_path_converted_effect_size,6,0,0.000000,0
