metric,value
rows_input,191
rows_in_exception_layer,45
rows_not_in_exception_layer,146
generic_full_accuracy_included,0
contract_aware_beta_path_included,2
contract_aware_scored,2
contract_aware_correct,2
status:not_scored_manual_source_reference_adjudication_required,3
status:not_scored_missing_converted_effect_value,3
status:not_scored_no_exception_layer_record,146
status:not_scored_no_explicit_structural_path_evidence,12
status:not_scored_no_locked_answer,1
status:not_scored_reference_contract_caveat,24
status:scored_contract_aware_converted_effect,2
policy:contract_aware_converted_effect_scoring_allowed_after_layer_consumed,6
policy:exclude_until_explicit_structural_path_evidence_or_reference_correction,12
policy:manual_source_reference_adjudication_required_no_in_place_freeze_change,3
policy:reference_contract_caveat_no_in_place_freeze_change,24
