run_id,model_provider,model_id,denominator_family,scored_n,correct_n,accuracy,not_scored_n
paper_b_full_corpus_m1_raw_bounded_shard_0090_20260611,openai,codex:gpt-5.5,primary_direct_r_or_source_reported_correlation,30,15,0.500000,0
paper_b_full_corpus_m1_raw_bounded_shard_0090_20260611,openai,codex:gpt-5.5,primary_latent_or_construct_correlation_with_source_type_flag,30,27,0.900000,0
paper_b_full_corpus_m1_raw_bounded_shard_0090_20260611,openai,codex:gpt-5.5,secondary_beta_or_path_converted_effect_size,30,13,0.433333,0
paper_b_full_corpus_m1_raw_smoke_20260609,openai,codex:gpt-5.5,primary_direct_r_or_source_reported_correlation,10,0,0.000000,0
paper_b_full_corpus_m1_raw_smoke_20260609,openai,codex:gpt-5.5,primary_latent_or_construct_correlation_with_source_type_flag,10,0,0.000000,0
paper_b_full_corpus_m1_raw_smoke_20260609,openai,codex:gpt-5.5,secondary_beta_or_path_converted_effect_size,10,0,0.000000,0
paper_b_full_corpus_m1_raw_source_rendered_beta_path_contract_probe_20260611,openai,codex:gpt-5.5,secondary_beta_or_path_converted_effect_size,15,2,0.133333,0
paper_b_full_corpus_m1_raw_source_rendered_smoke_20260609,openai,codex:gpt-5.5,secondary_beta_or_path_converted_effect_size,6,0,0.000000,0
paper_b_full_corpus_m1_raw_source_rendered_table_retrieval_smoke_20260610,openai,codex_cli:default_unspecified,primary_direct_r_or_source_reported_correlation,10,10,1.000000,0
paper_b_full_corpus_m1_raw_source_rendered_table_retrieval_smoke_20260610,openai,codex_cli:default_unspecified,secondary_beta_or_path_converted_effect_size,15,3,0.200000,0
paper_b_full_corpus_m1_raw_source_rendered_table_retrieval_smoke_20260611,openai,codex:gpt-5.5,primary_direct_r_or_source_reported_correlation,10,0,0.000000,0
paper_b_full_corpus_m1_raw_source_rendered_table_retrieval_smoke_20260611,openai,codex:gpt-5.5,secondary_beta_or_path_converted_effect_size,15,3,0.200000,0
