metric,value
rows_input,101
rows_in_exception_layer,45
rows_not_in_exception_layer,56
generic_full_accuracy_included,0
contract_aware_beta_path_included,0
contract_aware_scored,0
contract_aware_correct,0
status:not_scored_no_exception_layer_record,56
status:not_scored_no_locked_answer,45
policy:contract_aware_converted_effect_scoring_allowed_after_layer_consumed,6
policy:exclude_until_explicit_structural_path_evidence_or_reference_correction,12
policy:manual_source_reference_adjudication_required_no_in_place_freeze_change,3
policy:reference_contract_caveat_no_in_place_freeze_change,24
