file,bytes,valid_pdf_header
references/paper_a_apa7_evidence_review_20260615/pdfs/Cheung_2008_fixed_random_mixed_effects_SEM.pdf,259306,True
references/paper_a_apa7_evidence_review_20260615/pdfs/Cheung_2015_metaSEM_Frontiers.pdf,609848,True
references/paper_a_apa7_evidence_review_20260615/pdfs/Dwivedi_2019_reexamining_UTAUT.pdf,787946,True
references/paper_a_apa7_evidence_review_20260615/pdfs/Hamkah_2025_engineering_students_AI_acceptance.pdf,679784,True
references/paper_a_apa7_evidence_review_20260615/pdfs/Jak_2015_MASEM_chapter.pdf,1576210,True
references/paper_a_apa7_evidence_review_20260615/pdfs/Jak_Cheung_2020_MASEM_moderating_effects.pdf,2434649,True
references/paper_a_apa7_evidence_review_20260615/pdfs/Labadze_2023_AI_chatbots_education_review.pdf,998812,True
references/paper_a_apa7_evidence_review_20260615/pdfs/Oc_2025_GenAI_higher_ed_risk_trust_UTAUT.pdf,633610,True
references/paper_a_apa7_evidence_review_20260615/pdfs/Zhang_2022_MASEM_primer.pdf,1359691,True
references/paper_a_apa7_evidence_review_20260615/pdfs/metaSEM_CRAN_manual_2026.pdf,486087,True
