scenario,parameter,estimate,parameter_family
baseline_primary_human,PE_to_BI,0.3765781632146905,structural_path
baseline_primary_human,EE_to_BI,0.271255004149814,structural_path
baseline_primary_human,SI_to_BI,0.24260370849353974,structural_path
baseline_primary_human,FC_to_UB,0.22290805077353817,structural_path
baseline_primary_human,BI_to_UB,0.5663491205316509,structural_path
baseline_primary_human,Cov_PE_EE,0.5263365419952586,exogenous_covariance
baseline_primary_human,Cov_PE_SI,0.456178758234979,exogenous_covariance
baseline_primary_human,Cov_EE_SI,0.39074887671996755,exogenous_covariance
baseline_primary_human,Cov_PE_FC,0.5180283481383101,exogenous_covariance
baseline_primary_human,Cov_EE_FC,0.5992007556356433,exogenous_covariance
baseline_primary_human,Cov_SI_FC,0.4561328487668429,exogenous_covariance
baseline_primary_human,Var_e_BI,0.48344315495135887,residual_variance
baseline_primary_human,Var_e_UB,0.5113273445793344,residual_variance
expert_reviewed_llm_assisted_primary,PE_to_BI,0.3765781632146905,structural_path
expert_reviewed_llm_assisted_primary,EE_to_BI,0.271255004149814,structural_path
expert_reviewed_llm_assisted_primary,SI_to_BI,0.24260370849353974,structural_path
expert_reviewed_llm_assisted_primary,FC_to_UB,0.22290805077353817,structural_path
expert_reviewed_llm_assisted_primary,BI_to_UB,0.5663491205316509,structural_path
expert_reviewed_llm_assisted_primary,Cov_PE_EE,0.5263365419952586,exogenous_covariance
expert_reviewed_llm_assisted_primary,Cov_PE_SI,0.456178758234979,exogenous_covariance
expert_reviewed_llm_assisted_primary,Cov_EE_SI,0.39074887671996755,exogenous_covariance
expert_reviewed_llm_assisted_primary,Cov_PE_FC,0.5180283481383101,exogenous_covariance
expert_reviewed_llm_assisted_primary,Cov_EE_FC,0.5992007556356433,exogenous_covariance
expert_reviewed_llm_assisted_primary,Cov_SI_FC,0.4561328487668429,exogenous_covariance
expert_reviewed_llm_assisted_primary,Var_e_BI,0.48344315495135887,residual_variance
expert_reviewed_llm_assisted_primary,Var_e_UB,0.5113273445793344,residual_variance
