metric,value
status,blocked_missing_private_source_packets
task_rows,90
unique_studies,10
source_packet_dir,data/04_extraction/07_paper_c_harness_benchmark/private/source_renderings_20260609_full_coverage/source_packets
source_packet_dir_exists,false
studies_with_source_packet,0
studies_missing_source_packet,10
previous_locked_task_ids_excluded,51
generic_exception_task_ids_excluded,15
selected_primary_direct_r_or_source_reported_correlation,30
selected_primary_latent_or_construct_correlation_with_source_type_flag,30
selected_secondary_beta_or_path_converted_effect_size,30
