study_id,reference_record_id,phase_block,pair,sample_or_stratum,n,construct_1,construct_2,r_value,r_source,original_beta,source_location,evidence_type,mapping_confidence,decision_status,step3_decision_source,notes
S076,S076_full_sample_ATT_BI,phase1,Pair A,full_sample,526,ATT,BI,0.815,source_reported_latent_correlation,,S076.pdf Table 4 Fornell-Larcker/discriminant validity,fornell_larcker_off_diagonal_latent_correlation,high,included_reference_draft_residual_batch2_source_checked,combined_coder_values_long_20260525.csv; local source PDF text check 20260608,Use R1 row set; R2 Table 4 labels are row-shifted for BI/INT and non-target constructs.
S076,S076_full_sample_ATT_EE,phase1,Pair A,full_sample,526,ATT,EE,0.740,source_reported_latent_correlation,,S076.pdf Table 4 Fornell-Larcker/discriminant validity,fornell_larcker_off_diagonal_latent_correlation,high,included_reference_draft_residual_batch2_source_checked,combined_coder_values_long_20260525.csv; local source PDF text check 20260608,Use R1 row set; R2 Table 4 labels are row-shifted for BI/INT and non-target constructs.
S076,S076_full_sample_ATT_FC,phase1,Pair A,full_sample,526,ATT,FC,0.664,source_reported_latent_correlation,,S076.pdf Table 4 Fornell-Larcker/discriminant validity,fornell_larcker_off_diagonal_latent_correlation,high,included_reference_draft_residual_batch2_source_checked,combined_coder_values_long_20260525.csv; local source PDF text check 20260608,Use R1 row set; R2 Table 4 labels are row-shifted for BI/INT and non-target constructs.
S076,S076_full_sample_ATT_PE,phase1,Pair A,full_sample,526,ATT,PE,0.743,source_reported_latent_correlation,,S076.pdf Table 4 Fornell-Larcker/discriminant validity,fornell_larcker_off_diagonal_latent_correlation,high,included_reference_draft_residual_batch2_source_checked,combined_coder_values_long_20260525.csv; local source PDF text check 20260608,Use R1 row set; R2 Table 4 labels are row-shifted for BI/INT and non-target constructs.
S076,S076_full_sample_ATT_SI,phase1,Pair A,full_sample,526,ATT,SI,0.752,source_reported_latent_correlation,,S076.pdf Table 4 Fornell-Larcker/discriminant validity,fornell_larcker_off_diagonal_latent_correlation,high,included_reference_draft_residual_batch2_source_checked,combined_coder_values_long_20260525.csv; local source PDF text check 20260608,Use R1 row set; R2 Table 4 labels are row-shifted for BI/INT and non-target constructs.
S076,S076_full_sample_BI_EE,phase1,Pair A,full_sample,526,BI,EE,0.670,source_reported_latent_correlation,,S076.pdf Table 4 Fornell-Larcker/discriminant validity,fornell_larcker_off_diagonal_latent_correlation,high,included_reference_draft_residual_batch2_source_checked,combined_coder_values_long_20260525.csv; local source PDF text check 20260608,Use R1 row set; R2 Table 4 labels are row-shifted for BI/INT and non-target constructs.
S076,S076_full_sample_BI_FC,phase1,Pair A,full_sample,526,BI,FC,0.558,source_reported_latent_correlation,,S076.pdf Table 4 Fornell-Larcker/discriminant validity,fornell_larcker_off_diagonal_latent_correlation,high,included_reference_draft_residual_batch2_source_checked,combined_coder_values_long_20260525.csv; local source PDF text check 20260608,Use R1 row set; R2 Table 4 labels are row-shifted for BI/INT and non-target constructs.
S076,S076_full_sample_BI_PE,phase1,Pair A,full_sample,526,BI,PE,0.702,source_reported_latent_correlation,,S076.pdf Table 4 Fornell-Larcker/discriminant validity,fornell_larcker_off_diagonal_latent_correlation,high,included_reference_draft_residual_batch2_source_checked,combined_coder_values_long_20260525.csv; local source PDF text check 20260608,Use R1 row set; R2 Table 4 labels are row-shifted for BI/INT and non-target constructs.
S076,S076_full_sample_BI_SI,phase1,Pair A,full_sample,526,BI,SI,0.759,source_reported_latent_correlation,,S076.pdf Table 4 Fornell-Larcker/discriminant validity,fornell_larcker_off_diagonal_latent_correlation,high,included_reference_draft_residual_batch2_source_checked,combined_coder_values_long_20260525.csv; local source PDF text check 20260608,Use R1 row set; R2 Table 4 labels are row-shifted for BI/INT and non-target constructs.
S076,S076_full_sample_EE_FC,phase1,Pair A,full_sample,526,EE,FC,0.731,source_reported_latent_correlation,,S076.pdf Table 4 Fornell-Larcker/discriminant validity,fornell_larcker_off_diagonal_latent_correlation,high,included_reference_draft_residual_batch2_source_checked,combined_coder_values_long_20260525.csv; local source PDF text check 20260608,Use R1 row set; R2 Table 4 labels are row-shifted for BI/INT and non-target constructs.
S076,S076_full_sample_EE_PE,phase1,Pair A,full_sample,526,EE,PE,0.787,source_reported_latent_correlation,,S076.pdf Table 4 Fornell-Larcker/discriminant validity,fornell_larcker_off_diagonal_latent_correlation,high,included_reference_draft_residual_batch2_source_checked,combined_coder_values_long_20260525.csv; local source PDF text check 20260608,Use R1 row set; R2 Table 4 labels are row-shifted for BI/INT and non-target constructs.
S076,S076_full_sample_EE_SI,phase1,Pair A,full_sample,526,EE,SI,0.739,source_reported_latent_correlation,,S076.pdf Table 4 Fornell-Larcker/discriminant validity,fornell_larcker_off_diagonal_latent_correlation,high,included_reference_draft_residual_batch2_source_checked,combined_coder_values_long_20260525.csv; local source PDF text check 20260608,Use R1 row set; R2 Table 4 labels are row-shifted for BI/INT and non-target constructs.
