study_id,reference_record_id,phase_block,pair,sample_or_stratum,n,construct_1,construct_2,r_value,r_source,original_beta,source_location,evidence_type,mapping_confidence,decision_status,step3_decision_source,notes
S163,S163_full_sample_ATT_BI,phase1,Pair B,full_sample,300,ATT,BI,0.74,source_reported_pearson_or_latent_correlation,,S163.pdf Table 6,source_reported_direct_correlation_or_latent_correlation,high,included_reference_draft_residual_batch4_phase1_pairB_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch4 phase1 Pair B adjudication 20260608,Use R4 Table 6 direct rows; R3 direct row set differs numerically and omits SE rows.
S163,S163_full_sample_ATT_PE,phase1,Pair B,full_sample,300,ATT,PE,0.68,source_reported_pearson_or_latent_correlation,,S163.pdf Table 6,source_reported_direct_correlation_or_latent_correlation,high,included_reference_draft_residual_batch4_phase1_pairB_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch4 phase1 Pair B adjudication 20260608,Use R4 Table 6 direct rows; R3 direct row set differs numerically and omits SE rows.
S163,S163_full_sample_ATT_SE,phase1,Pair B,full_sample,300,ATT,SE,0.68,source_reported_pearson_or_latent_correlation,,S163.pdf Table 6,source_reported_direct_correlation_or_latent_correlation,high,included_reference_draft_residual_batch4_phase1_pairB_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch4 phase1 Pair B adjudication 20260608,Use R4 Table 6 direct rows; R3 direct row set differs numerically and omits SE rows.
S163,S163_full_sample_ATT_SI,phase1,Pair B,full_sample,300,ATT,SI,0.74,source_reported_pearson_or_latent_correlation,,S163.pdf Table 6,source_reported_direct_correlation_or_latent_correlation,high,included_reference_draft_residual_batch4_phase1_pairB_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch4 phase1 Pair B adjudication 20260608,Use R4 Table 6 direct rows; R3 direct row set differs numerically and omits SE rows.
S163,S163_full_sample_ATT_TRU,phase1,Pair B,full_sample,300,ATT,TRU,0.74,source_reported_pearson_or_latent_correlation,,S163.pdf Table 6,source_reported_direct_correlation_or_latent_correlation,high,included_reference_draft_residual_batch4_phase1_pairB_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch4 phase1 Pair B adjudication 20260608,Use R4 Table 6 direct rows; R3 direct row set differs numerically and omits SE rows.
S163,S163_full_sample_BI_PE,phase1,Pair B,full_sample,300,BI,PE,0.59,source_reported_pearson_or_latent_correlation,,S163.pdf Table 6,source_reported_direct_correlation_or_latent_correlation,high,included_reference_draft_residual_batch4_phase1_pairB_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch4 phase1 Pair B adjudication 20260608,Use R4 Table 6 direct rows; R3 direct row set differs numerically and omits SE rows.
S163,S163_full_sample_BI_SE,phase1,Pair B,full_sample,300,BI,SE,0.61,source_reported_pearson_or_latent_correlation,,S163.pdf Table 6,source_reported_direct_correlation_or_latent_correlation,high,included_reference_draft_residual_batch4_phase1_pairB_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch4 phase1 Pair B adjudication 20260608,Use R4 Table 6 direct rows; R3 direct row set differs numerically and omits SE rows.
S163,S163_full_sample_BI_SI,phase1,Pair B,full_sample,300,BI,SI,0.67,source_reported_pearson_or_latent_correlation,,S163.pdf Table 6,source_reported_direct_correlation_or_latent_correlation,high,included_reference_draft_residual_batch4_phase1_pairB_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch4 phase1 Pair B adjudication 20260608,Use R4 Table 6 direct rows; R3 direct row set differs numerically and omits SE rows.
S163,S163_full_sample_BI_TRU,phase1,Pair B,full_sample,300,BI,TRU,0.66,source_reported_pearson_or_latent_correlation,,S163.pdf Table 6,source_reported_direct_correlation_or_latent_correlation,high,included_reference_draft_residual_batch4_phase1_pairB_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch4 phase1 Pair B adjudication 20260608,Use R4 Table 6 direct rows; R3 direct row set differs numerically and omits SE rows.
S163,S163_full_sample_PE_SE,phase1,Pair B,full_sample,300,PE,SE,0.68,source_reported_pearson_or_latent_correlation,,S163.pdf Table 6,source_reported_direct_correlation_or_latent_correlation,high,included_reference_draft_residual_batch4_phase1_pairB_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch4 phase1 Pair B adjudication 20260608,Use R4 Table 6 direct rows; R3 direct row set differs numerically and omits SE rows.
