full10_pair_order_label,study_id,sample_stratum,missing_pair,source_packet_file,source_locator,candidate_value,candidate_value_metric,conditional_mapping_required,SE_status,preliminary_decision,promote_to_supplemental_input,confidence,researcher_action,rationale_ko
05_PE-SE,S004,full_sample,PE-SE,S004_source_packet_20260609.txt,S004_doc1 page 15 chunk 1; Table 4 correlation matrix,,,,no_SE_construct,do_not_promote_construct_mapping_failure_no_SE,no,high,confirm_exclusion_or_request_full_pdf_reopen,"PE present; no measured self-efficacy construct in matrix. PKC is perceived knowledge, not SE.; source-anchored human confirmation 전에는 supplemental input에 반영하지 않음."
05_PE-SE,S030,full_sample,PE-SE,S030_source_packet_20260609.txt,S030_doc1 page 6 chunk 1; page 8 chunk 1; PDF text lines around Table 5,,,,PBC_not_SE,do_not_promote_construct_mapping_failure_no_SE,no,high,confirm_exclusion_or_request_full_pdf_reopen,PU present; PBC/perceived behavioral control is present but not coded as full10 self-efficacy under current rule. Self-efficacy appears in narrative/TPB background only.; source-anchored human confirmation 전에는 supplemental input에 반영하지 않음.
05_PE-SE,S055,full_sample,PE-SE,S055_source_packet_20260609.txt,S055_doc1 page 12 chunk 1; Table 3 Fornell-Larcker,,,,no_SE_construct,do_not_promote_construct_mapping_failure_no_SE,no,high,confirm_exclusion_or_request_full_pdf_reopen,"PE present; measured constructs are BI, EE, FC, HT, HM, PE, SI, USE. No self-efficacy construct.; source-anchored human confirmation 전에는 supplemental input에 반영하지 않음."
05_PE-SE,S072,full_sample,PE-SE,S072_source_packet_20260609.txt,S072_doc1 page 9 chunk 1; Table 1 construct list,,,,no_SE_construct,do_not_promote_construct_mapping_failure_no_SE,no,high,confirm_exclusion_or_request_full_pdf_reopen,"PE present; measured constructs include PE, EE, SI, FC, HM, privacy concerns, learning value, habit, robotics adoption, BI, VTA use. No self-efficacy construct.; source-anchored human confirmation 전에는 supplemental input에 반영하지 않음."
05_PE-SE,S088,full_sample,PE-SE,S088_source_packet_20260609.txt,S088_doc1 page 16 chunk 1; Appendix Table A,,,,no_SE_construct,do_not_promote_construct_mapping_failure_no_SE,no,high,confirm_exclusion_or_request_full_pdf_reopen,"PE present; model includes intention/use/trust/risk/tech-savviness, not measured self-efficacy.; source-anchored human confirmation 전에는 supplemental input에 반영하지 않음."
05_PE-SE,S121-1,students,PE-SE,S121_source_packet_20260609.txt,S121.pdf page 8 Figure 2 correlation heatmap; source packet notes Figure 2 but text extraction omits values,0.40,Spearman_r_from_figure,genAI-related subjective competence -> full10 SE,conditional_subjective_competence_as_SE,researcher_approved_promote_to_supplemental_input,yes,researcher_approved_20260614,approved_20260614_mapping_and_value,연구자가 genAI-related subjective competence -> full10 SE 매핑을 승인함. Figure 2 학생 표본 Spearman r=.40을 PE-SE supplemental input으로 승격.
05_PE-SE,S121-2,teachers,PE-SE,S121_source_packet_20260609.txt,S121.pdf page 8 Figure 2 correlation heatmap; source packet notes Figure 2 but text extraction omits values,0.30,Spearman_r_from_figure,genAI-related subjective competence -> full10 SE,conditional_subjective_competence_as_SE,researcher_approved_promote_to_supplemental_input,yes,researcher_approved_20260614,approved_20260614_mapping_and_value,연구자가 genAI-related subjective competence -> full10 SE 매핑을 승인함. Figure 2 교사 표본 Spearman r=.30을 PE-SE supplemental input으로 승격.
05_PE-SE,S173,full_sample,PE-SE,S173_source_packet_20260609.txt,S173_doc1 page 12 chunk 1; Table 2 Fornell-Larcker,,,,no_SE_construct,do_not_promote_construct_mapping_failure_no_SE,no,high,confirm_exclusion_or_request_full_pdf_reopen,PE present; no measured self-efficacy construct in discriminant-validity matrix.; source-anchored human confirmation 전에는 supplemental input에 반영하지 않음.
05_PE-SE,S176,full_sample,PE-SE,S176_source_packet_20260609.txt,S176.pdf text around Table 2/instrument and references,,,,no_SE_construct,do_not_promote_construct_mapping_failure_no_SE,no,high,confirm_exclusion_or_request_full_pdf_reopen,"PE present; no measured self-efficacy construct. Self-efficacy appears only in cited/background references, not as a study variable.; source-anchored human confirmation 전에는 supplemental input에 반영하지 않음."
05_PE-SE,S185,full_sample,PE-SE,,S185.pdf text around Table 1 and Table 3; source packet unavailable,,,,PBC_not_SE,do_not_promote_construct_mapping_failure_no_SE,no,medium,confirm_exclusion_or_request_full_pdf_reopen,PU present; PBC contains ability/control wording but is not full10 self-efficacy under current rule. Self-efficacy appears only as background/future external factor/reference.; source-anchored human confirmation 전에는 supplemental input에 반영하지 않음.
05_PE-SE,S190,full_sample,PE-SE,S190_source_packet_20260609.txt,S190_doc1 page 4 chunk 1; Table 1; page 4 chunk 2 structural results,,,,no_SE_construct,do_not_promote_construct_mapping_failure_no_SE,no,high,confirm_exclusion_or_request_full_pdf_reopen,"PU/perceived usefulness present; no self-efficacy construct. PE abbreviation in this paper can refer to perceived enjoyment, not full10 PE-SE.; source-anchored human confirmation 전에는 supplemental input에 반영하지 않음."
05_PE-SE,S214,full_sample,PE-SE,S214_source_packet_20260609.txt,S214_doc1 page 6 chunk 1; Table 5 Fornell-Larcker,,,,no_SE_construct,do_not_promote_construct_mapping_failure_no_SE,no,high,confirm_exclusion_or_request_full_pdf_reopen,"PE present; measured constructs are BI, EE, FC, GPTU, H, HM, PE, SI. No self-efficacy construct.; source-anchored human confirmation 전에는 supplemental input에 반영하지 않음."
05_PE-SE,S223,full_sample,PE-SE,S223_source_packet_20260609.txt,S223_doc1 page 11 chunk 1; Table 4 Fornell-Larcker,,,,SE_is_security_not_self_efficacy,do_not_promote_construct_mapping_failure_wrong_SE,no,high,confirm_exclusion_or_request_full_pdf_reopen,"PU present and a table value with SE exists, but SE denotes Security, not self-efficacy. Do not map to full10 SE.; source-anchored human confirmation 전에는 supplemental input에 반영하지 않음."
