run_id,model_provider,model_id,model_version,procedure_id,prompt_version,run_timestamp_utc,temperature,seed,task_unit_id,study_id,llm_task_family,denominator_family,scoring_eligibility,expected_answer_type,evaluation_unit_text,model_input_text,model_answer,model_answer_normalized,model_source_locator,model_source_quote,model_confidence,abstained,error_code,raw_output_ref,locked_answer_status,lock_timestamp_utc,locked_by,notes,raw_beta_value,converted_effect_value,conversion_method
paper_b_full_corpus_m1_raw_full_0500_0749_20260612,openai,codex:gpt-5.5,codex-cli 0.139.0; model_selector=gpt-5.5,raw_model_extraction_source_rendered_full_corpus,paper_b_step5_full_corpus_prompt_v1_20260609_source_packet_full_corpus,2026-06-12T04:14:15Z,0,,FC-S5-TASK-00501,S049,direct_r_effect_size_extraction,primary_direct_r_or_source_reported_correlation,eligible_after_locked_llm_output,numeric_r_effect_size,Study: S049 | Reference record: S049_full_sample_PE_SI | Sample/stratum: full_sample | N: 419 | Construct pair: PE-SI | Human reference r: 0.497 | Reference source type: coder_agreed_direct_correlation | Evidence type: coder_agreed_direct_correlation | Source location: Table 3 | Caveats: none | Notes: Coder-agreed lightweight carry-forward; no new source-value adjudication record was created. Lightweight audit note: Metadata/status differences only; 15 of 15 unique agreed rows have at least one coded source-location entry. No new source-value adjudication record was created. Frozen in full-corpus source-anchored adjudicated human reference standard on 2026-06-09; original application decision_status=included_coder_agreed_correlation_rows_application_draft.,Study: S049 | Sample/stratum: full_sample | Construct pair: PE-SI | Expected answer type: numeric_r_effect_size | Evidence family to recover: direct_r_effect_size_extraction | Use only the locked source-document rendering/chunks for the authorized run condition. This task stub intentionally excludes the human reference value.,0.497,0.497,S049_doc1 page 10 chunk 1,,high,False,,not_persisted_batch,locked,2026-06-12T04:14:15Z,codex_noninteractive_batch,Fornell-Larcker construct correlation matrix; PE-SI correlation.,,,
paper_b_full_corpus_m1_raw_full_0500_0749_20260612,openai,codex:gpt-5.5,codex-cli 0.139.0; model_selector=gpt-5.5,raw_model_extraction_source_rendered_full_corpus,paper_b_step5_full_corpus_prompt_v1_20260609_source_packet_full_corpus,2026-06-12T04:14:15Z,0,,FC-S5-TASK-00502,S049,direct_r_effect_size_extraction,primary_direct_r_or_source_reported_correlation,eligible_after_locked_llm_output,numeric_r_effect_size,Study: S049 | Reference record: S049_full_sample_PE_UB | Sample/stratum: full_sample | N: 419 | Construct pair: PE-UB | Human reference r: 0.412 | Reference source type: coder_agreed_direct_correlation | Evidence type: coder_agreed_direct_correlation | Source location: Table 3 | Caveats: none | Notes: Coder-agreed lightweight carry-forward; no new source-value adjudication record was created. Lightweight audit note: Metadata/status differences only; 15 of 15 unique agreed rows have at least one coded source-location entry. No new source-value adjudication record was created. Frozen in full-corpus source-anchored adjudicated human reference standard on 2026-06-09; original application decision_status=included_coder_agreed_correlation_rows_application_draft.,Study: S049 | Sample/stratum: full_sample | Construct pair: PE-UB | Expected answer type: numeric_r_effect_size | Evidence family to recover: direct_r_effect_size_extraction | Use only the locked source-document rendering/chunks for the authorized run condition. This task stub intentionally excludes the human reference value.,0.412,0.412,S049_doc1 page 10 chunk 1,,high,False,,not_persisted_batch,locked,2026-06-12T04:14:15Z,codex_noninteractive_batch,Fornell-Larcker construct correlation matrix; PE-AU used for PE-UB.,,,
paper_b_full_corpus_m1_raw_full_0500_0749_20260612,openai,codex:gpt-5.5,codex-cli 0.139.0; model_selector=gpt-5.5,raw_model_extraction_source_rendered_full_corpus,paper_b_step5_full_corpus_prompt_v1_20260609_source_packet_full_corpus,2026-06-12T04:14:15Z,0,,FC-S5-TASK-00503,S049,direct_r_effect_size_extraction,primary_direct_r_or_source_reported_correlation,eligible_after_locked_llm_output,numeric_r_effect_size,Study: S049 | Reference record: S049_full_sample_SI_UB | Sample/stratum: full_sample | N: 419 | Construct pair: SI-UB | Human reference r: 0.474 | Reference source type: coder_agreed_direct_correlation | Evidence type: coder_agreed_direct_correlation | Source location: Table 3 | Caveats: none | Notes: Coder-agreed lightweight carry-forward; no new source-value adjudication record was created. Lightweight audit note: Metadata/status differences only; 15 of 15 unique agreed rows have at least one coded source-location entry. No new source-value adjudication record was created. Frozen in full-corpus source-anchored adjudicated human reference standard on 2026-06-09; original application decision_status=included_coder_agreed_correlation_rows_application_draft.,Study: S049 | Sample/stratum: full_sample | Construct pair: SI-UB | Expected answer type: numeric_r_effect_size | Evidence family to recover: direct_r_effect_size_extraction | Use only the locked source-document rendering/chunks for the authorized run condition. This task stub intentionally excludes the human reference value.,0.474,0.474,S049_doc1 page 10 chunk 1,,high,False,,not_persisted_batch,locked,2026-06-12T04:14:15Z,codex_noninteractive_batch,Fornell-Larcker construct correlation matrix; SI-AU used for SI-UB.,,,
paper_b_full_corpus_m1_raw_full_0500_0749_20260612,openai,codex:gpt-5.5,codex-cli 0.139.0; model_selector=gpt-5.5,raw_model_extraction_source_rendered_full_corpus,paper_b_step5_full_corpus_prompt_v1_20260609_source_packet_full_corpus,2026-06-12T04:14:15Z,0,,FC-S5-TASK-00504,S050,latent_or_construct_correlation,primary_latent_or_construct_correlation_with_source_type_flag,eligible_after_locked_llm_output_with_source_type_denominator,numeric_correlation_with_source_type,Study: S050 | Reference record: S050_full_sample_BI_EE | Sample/stratum: full_sample | N: 500 | Construct pair: BI-EE | Human reference r: 0.624 | Reference source type: source_reported_pearson_or_latent_correlation | Evidence type: source_reported_direct_correlation_or_latent_correlation | Source location: S050.pdf Table 5 | Caveats: none | Notes: Use R4 source-located Table 5 direct row set; R3 mostly duplicates values but lacks source-location strings and differs for EE-PE/precision. Frozen in full-corpus source-anchored adjudicated human reference standard on 2026-06-09; original application decision_status=included_reference_draft_residual_batch5_source_checked.,Study: S050 | Sample/stratum: full_sample | Construct pair: BI-EE | Expected answer type: numeric_correlation_with_source_type | Evidence family to recover: latent_or_construct_correlation | Use only the locked source-document rendering/chunks for the authorized run condition. This task stub intentionally excludes the human reference value.,0.624,0.624,S050_doc1 page 16 chunk 1,,high,False,,not_persisted_batch,locked,2026-06-12T04:14:15Z,codex_noninteractive_batch,Full-sample construct correlation matrix; source type: latent/construct correlation.,,,
paper_b_full_corpus_m1_raw_full_0500_0749_20260612,openai,codex:gpt-5.5,codex-cli 0.139.0; model_selector=gpt-5.5,raw_model_extraction_source_rendered_full_corpus,paper_b_step5_full_corpus_prompt_v1_20260609_source_packet_full_corpus,2026-06-12T04:14:15Z,0,,FC-S5-TASK-00505,S050,latent_or_construct_correlation,primary_latent_or_construct_correlation_with_source_type_flag,eligible_after_locked_llm_output_with_source_type_denominator,numeric_correlation_with_source_type,Study: S050 | Reference record: S050_full_sample_BI_FC | Sample/stratum: full_sample | N: 500 | Construct pair: BI-FC | Human reference r: 0.599 | Reference source type: source_reported_pearson_or_latent_correlation | Evidence type: source_reported_direct_correlation_or_latent_correlation | Source location: S050.pdf Table 5 | Caveats: none | Notes: Use R4 source-located Table 5 direct row set; R3 mostly duplicates values but lacks source-location strings and differs for EE-PE/precision. Frozen in full-corpus source-anchored adjudicated human reference standard on 2026-06-09; original application decision_status=included_reference_draft_residual_batch5_source_checked.,Study: S050 | Sample/stratum: full_sample | Construct pair: BI-FC | Expected answer type: numeric_correlation_with_source_type | Evidence family to recover: latent_or_construct_correlation | Use only the locked source-document rendering/chunks for the authorized run condition. This task stub intentionally excludes the human reference value.,0.599,0.599,S050_doc1 page 16 chunk 1,,high,False,,not_persisted_batch,locked,2026-06-12T04:14:15Z,codex_noninteractive_batch,Full-sample construct correlation matrix; source type: latent/construct correlation.,,,
paper_b_full_corpus_m1_raw_full_0500_0749_20260612,openai,codex:gpt-5.5,codex-cli 0.139.0; model_selector=gpt-5.5,raw_model_extraction_source_rendered_full_corpus,paper_b_step5_full_corpus_prompt_v1_20260609_source_packet_full_corpus,2026-06-12T04:14:15Z,0,,FC-S5-TASK-00506,S050,latent_or_construct_correlation,primary_latent_or_construct_correlation_with_source_type_flag,eligible_after_locked_llm_output_with_source_type_denominator,numeric_correlation_with_source_type,Study: S050 | Reference record: S050_full_sample_BI_PE | Sample/stratum: full_sample | N: 500 | Construct pair: BI-PE | Human reference r: 0.591 | Reference source type: source_reported_pearson_or_latent_correlation | Evidence type: source_reported_direct_correlation_or_latent_correlation | Source location: S050.pdf Table 5 | Caveats: none | Notes: Use R4 source-located Table 5 direct row set; R3 mostly duplicates values but lacks source-location strings and differs for EE-PE/precision. Frozen in full-corpus source-anchored adjudicated human reference standard on 2026-06-09; original application decision_status=included_reference_draft_residual_batch5_source_checked.,Study: S050 | Sample/stratum: full_sample | Construct pair: BI-PE | Expected answer type: numeric_correlation_with_source_type | Evidence family to recover: latent_or_construct_correlation | Use only the locked source-document rendering/chunks for the authorized run condition. This task stub intentionally excludes the human reference value.,0.591,0.591,S050_doc1 page 16 chunk 1,,high,False,,not_persisted_batch,locked,2026-06-12T04:14:15Z,codex_noninteractive_batch,Full-sample construct correlation matrix; source type: latent/construct correlation.,,,
paper_b_full_corpus_m1_raw_full_0500_0749_20260612,openai,codex:gpt-5.5,codex-cli 0.139.0; model_selector=gpt-5.5,raw_model_extraction_source_rendered_full_corpus,paper_b_step5_full_corpus_prompt_v1_20260609_source_packet_full_corpus,2026-06-12T04:14:15Z,0,,FC-S5-TASK-00507,S050,latent_or_construct_correlation,primary_latent_or_construct_correlation_with_source_type_flag,eligible_after_locked_llm_output_with_source_type_denominator,numeric_correlation_with_source_type,Study: S050 | Reference record: S050_full_sample_BI_SI | Sample/stratum: full_sample | N: 500 | Construct pair: BI-SI | Human reference r: 0.63 | Reference source type: source_reported_pearson_or_latent_correlation | Evidence type: source_reported_direct_correlation_or_latent_correlation | Source location: S050.pdf Table 5 | Caveats: none | Notes: Use R4 source-located Table 5 direct row set; R3 mostly duplicates values but lacks source-location strings and differs for EE-PE/precision. Frozen in full-corpus source-anchored adjudicated human reference standard on 2026-06-09; original application decision_status=included_reference_draft_residual_batch5_source_checked.,Study: S050 | Sample/stratum: full_sample | Construct pair: BI-SI | Expected answer type: numeric_correlation_with_source_type | Evidence family to recover: latent_or_construct_correlation | Use only the locked source-document rendering/chunks for the authorized run condition. This task stub intentionally excludes the human reference value.,0.630,0.63,S050_doc1 page 16 chunk 1,,high,False,,not_persisted_batch,locked,2026-06-12T04:14:15Z,codex_noninteractive_batch,Full-sample construct correlation matrix; source type: latent/construct correlation.,,,
paper_b_full_corpus_m1_raw_full_0500_0749_20260612,openai,codex:gpt-5.5,codex-cli 0.139.0; model_selector=gpt-5.5,raw_model_extraction_source_rendered_full_corpus,paper_b_step5_full_corpus_prompt_v1_20260609_source_packet_full_corpus,2026-06-12T04:14:15Z,0,,FC-S5-TASK-00508,S050,latent_or_construct_correlation,primary_latent_or_construct_correlation_with_source_type_flag,eligible_after_locked_llm_output_with_source_type_denominator,numeric_correlation_with_source_type,Study: S050 | Reference record: S050_full_sample_BI_UB | Sample/stratum: full_sample | N: 500 | Construct pair: BI-UB | Human reference r: 0.826 | Reference source type: source_reported_pearson_or_latent_correlation | Evidence type: source_reported_direct_correlation_or_latent_correlation | Source location: S050.pdf Table 5 | Caveats: none | Notes: Use R4 source-located Table 5 direct row set; R3 mostly duplicates values but lacks source-location strings and differs for EE-PE/precision. Frozen in full-corpus source-anchored adjudicated human reference standard on 2026-06-09; original application decision_status=included_reference_draft_residual_batch5_source_checked.,Study: S050 | Sample/stratum: full_sample | Construct pair: BI-UB | Expected answer type: numeric_correlation_with_source_type | Evidence family to recover: latent_or_construct_correlation | Use only the locked source-document rendering/chunks for the authorized run condition. This task stub intentionally excludes the human reference value.,0.826,0.826,S050_doc1 page 16 chunk 1,,high,False,,not_persisted_batch,locked,2026-06-12T04:14:15Z,codex_noninteractive_batch,Full-sample construct correlation matrix; UB is usage behavior; source type: latent/construct correlation.,,,
paper_b_full_corpus_m1_raw_full_0500_0749_20260612,openai,codex:gpt-5.5,codex-cli 0.139.0; model_selector=gpt-5.5,raw_model_extraction_source_rendered_full_corpus,paper_b_step5_full_corpus_prompt_v1_20260609_source_packet_full_corpus,2026-06-12T04:14:15Z,0,,FC-S5-TASK-00509,S050,latent_or_construct_correlation,primary_latent_or_construct_correlation_with_source_type_flag,eligible_after_locked_llm_output_with_source_type_denominator,numeric_correlation_with_source_type,Study: S050 | Reference record: S050_full_sample_EE_FC | Sample/stratum: full_sample | N: 500 | Construct pair: EE-FC | Human reference r: 0.692 | Reference source type: source_reported_pearson_or_latent_correlation | Evidence type: source_reported_direct_correlation_or_latent_correlation | Source location: S050.pdf Table 5 | Caveats: none | Notes: Use R4 source-located Table 5 direct row set; R3 mostly duplicates values but lacks source-location strings and differs for EE-PE/precision. Frozen in full-corpus source-anchored adjudicated human reference standard on 2026-06-09; original application decision_status=included_reference_draft_residual_batch5_source_checked.,Study: S050 | Sample/stratum: full_sample | Construct pair: EE-FC | Expected answer type: numeric_correlation_with_source_type | Evidence family to recover: latent_or_construct_correlation | Use only the locked source-document rendering/chunks for the authorized run condition. This task stub intentionally excludes the human reference value.,0.692,0.692,S050_doc1 page 16 chunk 1,,high,False,,not_persisted_batch,locked,2026-06-12T04:14:15Z,codex_noninteractive_batch,Full-sample construct correlation matrix; source type: latent/construct correlation.,,,
paper_b_full_corpus_m1_raw_full_0500_0749_20260612,openai,codex:gpt-5.5,codex-cli 0.139.0; model_selector=gpt-5.5,raw_model_extraction_source_rendered_full_corpus,paper_b_step5_full_corpus_prompt_v1_20260609_source_packet_full_corpus,2026-06-12T04:14:15Z,0,,FC-S5-TASK-00510,S050,latent_or_construct_correlation,primary_latent_or_construct_correlation_with_source_type_flag,eligible_after_locked_llm_output_with_source_type_denominator,numeric_correlation_with_source_type,Study: S050 | Reference record: S050_full_sample_EE_PE | Sample/stratum: full_sample | N: 500 | Construct pair: EE-PE | Human reference r: 0.642 | Reference source type: source_reported_pearson_or_latent_correlation | Evidence type: source_reported_direct_correlation_or_latent_correlation | Source location: S050.pdf Table 5 | Caveats: none | Notes: Use R4 source-located Table 5 direct row set; R3 mostly duplicates values but lacks source-location strings and differs for EE-PE/precision. Frozen in full-corpus source-anchored adjudicated human reference standard on 2026-06-09; original application decision_status=included_reference_draft_residual_batch5_source_checked.,Study: S050 | Sample/stratum: full_sample | Construct pair: EE-PE | Expected answer type: numeric_correlation_with_source_type | Evidence family to recover: latent_or_construct_correlation | Use only the locked source-document rendering/chunks for the authorized run condition. This task stub intentionally excludes the human reference value.,0.642,0.642,S050_doc1 page 16 chunk 1,,high,False,,not_persisted_batch,locked,2026-06-12T04:14:15Z,codex_noninteractive_batch,Full-sample construct correlation matrix; source type: latent/construct correlation.,,,
paper_b_full_corpus_m1_raw_full_0500_0749_20260612,openai,codex:gpt-5.5,codex-cli 0.139.0; model_selector=gpt-5.5,raw_model_extraction_source_rendered_full_corpus,paper_b_step5_full_corpus_prompt_v1_20260609_source_packet_full_corpus,2026-06-12T04:14:15Z,0,,FC-S5-TASK-00511,S050,latent_or_construct_correlation,primary_latent_or_construct_correlation_with_source_type_flag,eligible_after_locked_llm_output_with_source_type_denominator,numeric_correlation_with_source_type,Study: S050 | Reference record: S050_full_sample_EE_SI | Sample/stratum: full_sample | N: 500 | Construct pair: EE-SI | Human reference r: 0.687 | Reference source type: source_reported_pearson_or_latent_correlation | Evidence type: source_reported_direct_correlation_or_latent_correlation | Source location: S050.pdf Table 5 | Caveats: none | Notes: Use R4 source-located Table 5 direct row set; R3 mostly duplicates values but lacks source-location strings and differs for EE-PE/precision. Frozen in full-corpus source-anchored adjudicated human reference standard on 2026-06-09; original application decision_status=included_reference_draft_residual_batch5_source_checked.,Study: S050 | Sample/stratum: full_sample | Construct pair: EE-SI | Expected answer type: numeric_correlation_with_source_type | Evidence family to recover: latent_or_construct_correlation | Use only the locked source-document rendering/chunks for the authorized run condition. This task stub intentionally excludes the human reference value.,0.687; source_type=latent_or_construct_correlation,0.687,S050_doc1 page 16 chunk 1; Table 5 full sample correlation matrix,,high,False,,not_persisted_batch,locked,2026-06-12T04:14:15Z,codex_noninteractive_batch,Full-sample EE-SI correlation from Table 5.,,,
