study_id,decision,recommended_action,exclusion_code,rationale,source_location,source_excerpt,affected_coders
S014,include_candidate,adjudicate_not_exclude,,"Reports PLS-SEM path analysis for adoption of AI-based data-analysis tools among academic researchers. R1 coded complete-sample indirect paths, while R4 has no coded values; adjudication is needed for indirect-effect handling, construct mapping, and higher-education population eligibility.",Abstract; Figure 1; Results 4.3; Table 4,Table 4 Path analysis,R1 coded values; R4 no coded values
S021,include_candidate,adjudicate_not_exclude,,"Reports PLS-SEM paths for genAI acceptance among higher-education staff before/after a training intervention; source has potentially usable path coefficients, but the pre/post design and T1/T2 construct separation need adjudication.",Abstract; Methods 3.4; Results 4.2-4.3; Figures 1-2; Supplementary Table S4,pre- and post-course genAI acceptance,R2 excluded; R3 no coded values
S039,exclude_confirmed,exclude_study,E-FT3,Dental-patient acceptance of AI-powered diagnosis in a clinical dental setting; the focal use case is healthcare diagnosis rather than educational AI adoption.,Abstract; Methods: study design and participants,AI-powered diagnosis,R2 excluded; R3 no coded values
S056,include_candidate,adjudicate_not_exclude,,"Reports TAM/PLS-SEM standardized path coefficients for ChatGPT acceptance among Chinese-as-a-foreign-language learners. R2 coded the TAM paths, while R3 has no coded values; adjudication is needed to recover the missing coder-side rows.",Abstract; Methods 3.4; Results 4.1.2; Table 3,Table 3. Path significance and coefficients.,R2 coded values; R3 no coded values
S092,include_candidate,adjudicate_not_exclude,,Reports SEM model fit and standardized path estimates for ChatGPT adoption among ESP/business-communication students; source appears to contain usable target path coefficients.,Abstract; Results: Structural Equation Modeling; Table 3,Structural equation modeling (SEM),R2 excluded
S101,exclude_confirmed,exclude_study,E-FT1,Uses ANN predictive-accuracy models and factor-loading summaries rather than a usable inter-construct correlation matrix or standardized target path coefficients.,Methods: Artificial Neural Networks model; Results Tables 5-6,Artificial Neural Networks (ANN),R2 excluded; R3 no coded values
S108,exclude_confirmed,exclude_study,E-FT1,Reports TAM/RIMMS group mean comparisons and t-tests for maker-education motivation/acceptance; no usable target construct-pair r or standardized path matrix.,Methods 2.2; Results Table 2,comparison was made between the perceptions,R1 excluded; R4 coded an effect-size row
S118,exclude_confirmed,exclude_study,E-FT1,"Reports descriptive acceptance results and Spearman correlations between GenAI use frequency and acceptance dimensions, not an adoption-model inter-construct matrix or SEM path model.",Results Tables 1-3,GenAI acceptance is positively moderate correlated,R2 excluded; R3 no coded values
S121,include_candidate,adjudicate_not_exclude,,Reports UTAUT/PLS-SEM paths for generative AI use and intention among students and teachers; source appears to contain usable target path coefficients.,Abstract; Methods; SEM/PLS-SEM results,partial least squares SEM (PLS-SEM),R3 no coded values
S132,exclude_confirmed,exclude_study,E-FT1,"Mentorship perception study reports identification/evaluation regressions and correlations for helpfulness, caring, and likelihood ratings; no usable target AI-adoption construct-pair r or SEM path coefficients.",Abstract; Research questions; Results,"helpfulness, caring, and likelihood",R1 excluded; R4 no coded values
S195,exclude_confirmed,exclude_study,E-FT1,"Same DOI/PDF as S206. The source uses PLSR component loadings and an image-only item-level correlation matrix, not a usable construct-level inter-construct correlation matrix or standardized SEM/path table for the project model.",Figure 3; Table 3; Table 4,PLSR component loading factors,R1 coded item-level values; R4 no coded values; duplicate-source issue with S206
S202,include_candidate,adjudicate_not_exclude,,Reports SEM path coefficients and a Fornell-Larcker-style construct correlation table for AI-driven LMS automation and student readiness; inclusion depends on construct mapping and focal-technology adjudication.,Research model; Table 4; Table 5,structural equation modelling (SEM),R2 excluded; R3 no coded values
S206,exclude_confirmed,exclude_study,E-FT1,Same DOI/PDF as S195. Uses PLSR component loadings and an image-only item-level correlation matrix for undergraduate generative-AI adoption; it is not a usable construct-level inter-construct correlation matrix or standardized SEM/path table.,Figure 3; Table 3; Table 4,PLSR component loading factors,R2 excluded; R3 no coded values; duplicate-source issue with S195
S224,exclude_confirmed,exclude_study,E-FT3,"Full text focuses on virtual learning/Google Classroom adoption during COVID-19. AI and machine-learning features are discussed only as possible enhancements, so the focal technology is not educational AI adoption.",Abstract; Introduction; Conclusion,"Adoption, use and enhancement of virtual learning",R1 excluded; R4 coded virtual-learning UTAUT paths
