category,citation,doi_or_url,use_in_paper_a,notes
AI education,"Kelly, S., Kaye, S.-A., & Oviedo-Trespalacios, O. (2023). What factors contribute to the acceptance of artificial intelligence? A systematic review.",https://doi.org/10.1016/j.tele.2022.101925,,
AI education,"Labadze, L., Grigolia, M., & Machaidze, L. (2023). Role of AI chatbots in education: Systematic literature review.",https://doi.org/10.1186/s41239-023-00426-1,,
AI education,"Strzelecki, A. (2023). To use or not to use ChatGPT in higher education? A study on UTAUT and ChatGPT adoption.",https://doi.org/10.1080/10494820.2023.2209881,,
mechanism,"Bandura, A. (1977). Self-efficacy: Toward a unifying theory of behavioral change.",https://doi.org/10.1037/0033-295X.84.2.191,,
mechanism,"Bandura, A. (1997). Self-efficacy: The exercise of control.",https://www.worldcat.org/title/36074515,,
mechanism,"Celik, I. (2023). Towards intelligent-TPACK: An empirical study on teachers' professional knowledge to ethically integrate artificial intelligence-based tools into education. Computers in Human Behavior, 138, 107468.",https://doi.org/10.1016/j.chb.2022.107468,AI-in-education readiness and competence framing for self-efficacy-related mechanisms.,Added as an AI-education mechanism reference; team should verify fit before final reference lock.
mechanism,"Compeau, D. R., & Higgins, C. A. (1995). Computer self-efficacy: Development of a measure and initial test.",https://doi.org/10.2307/249688,,
mechanism,"Compeau, D. R., Higgins, C. A., & Huff, S. (1999). Social cognitive theory and individual reactions to computing technology.",https://doi.org/10.2307/249749,,
mechanism,"Marakas, G. M., Yi, M. Y., & Johnson, R. D. (1998). The multilevel and multifaceted character of computer self-efficacy.",https://doi.org/10.1287/isre.9.2.126,,
mechanism,"Meuter, M. L., Ostrom, A. L., Bitner, M. J., & Roundtree, R. (2003). The influence of technology anxiety on consumer use and experiences with self-service technologies.",https://doi.org/10.1016/S0148-2963(01)00276-4,,
mechanism,"Parasuraman, A. (2000). Technology Readiness Index (TRI): Multiple-item scale to measure readiness to embrace new technologies.",https://doi.org/10.1177/109467050024001,,
method,"Burnham, K. P., & Anderson, D. R. (2002). Model selection and multimodel inference.",https://link.springer.com/book/10.1007/b97636,,
method,"Cheung, M. W.-L. (2014). Fixed- and random-effects meta-analytic structural equation modeling: Examples and analyses in R.",https://doi.org/10.3758/s13428-013-0361-y,,
method,"Cheung, M. W.-L. (2015). Meta-analysis: A structural equation modeling approach.",https://www.wiley.com/en-us/Meta+Analysis%3A+A+Structural+Equation+Modeling+Approach-p-9781119993438,,
method,"Cheung, M. W.-L. (2015). metaSEM: An R package for meta-analysis using structural equation modeling.",https://doi.org/10.3389/fpsyg.2014.01521,,
method,"Cheung, M. W.-L., & Chan, W. (2005). Meta-analytic structural equation modeling: A two-stage approach.",https://doi.org/10.1037/1082-989X.10.1.40,,
method,"Jak, S., & Cheung, M. W.-L. (2018). Accounting for missing correlation coefficients in fixed-effects MASEM.",https://doi.org/10.1080/00273171.2017.1375886,,
method,"Jak, S., & Cheung, M. W.-L. (2020). Meta-analytic structural equation modeling with moderating effects on SEM parameters.",https://doi.org/10.1037/met0000245,,
method,"Jak, S., & Cheung, M. W.-L. (2024). A cautionary note on univariate-r approaches to MASEM.",https://doi.org/10.1177/25152459241274249,,
