workbook_id,workbook_path,backup_path,sheet,range,study_id,construct_pair,old_value_source,new_value_summary,rationale
repo_freeze_candidate,/Users/newhosung/Academic/2026/AI Adoption Meta Analysis/data/04_extraction/01_raw_human_coder_data_freeze/phase2/freeze_candidates/R1/AI_Adoption_MASEM_Coding_v3_R1_Phase0_1_2_freeze_candidate_20260525.xlsx,/Users/newhosung/Academic/2026/AI Adoption Meta Analysis/data/04_extraction/01_raw_human_coder_data_freeze/phase2/freeze_candidates/R1/AI_Adoption_MASEM_Coding_v3_R1_Phase0_1_2_freeze_candidate_20260525.xlsx.bak_20260605_tiered_freeze,STUDY_METADATA,Y106:Z106,S014,PE-UB; SI-UB,backup_workbook_same_range,Mark source-audited freeze; retain PE-UB/SI-UB as sensitivity-only indirect path evidence via perceived risk.,Source confirms path-analysis evidence but not source-reported zero-order/direct-r correlations.
repo_freeze_candidate,/Users/newhosung/Academic/2026/AI Adoption Meta Analysis/data/04_extraction/01_raw_human_coder_data_freeze/phase2/freeze_candidates/R1/AI_Adoption_MASEM_Coding_v3_R1_Phase0_1_2_freeze_candidate_20260525.xlsx,/Users/newhosung/Academic/2026/AI Adoption Meta Analysis/data/04_extraction/01_raw_human_coder_data_freeze/phase2/freeze_candidates/R1/AI_Adoption_MASEM_Coding_v3_R1_Phase0_1_2_freeze_candidate_20260525.xlsx.bak_20260605_tiered_freeze,STUDY_METADATA,T112:Z112,S195,study_status,backup_workbook_same_range,Set excluded_source_freeze with duplicate/unusable source-statistic rationale.,Same DOI/PDF as S206; PLSR/component-loading or item-level evidence is not usable construct-level MASEM evidence.
repo_freeze_candidate,/Users/newhosung/Academic/2026/AI Adoption Meta Analysis/data/04_extraction/01_raw_human_coder_data_freeze/phase2/freeze_candidates/R1/AI_Adoption_MASEM_Coding_v3_R1_Phase0_1_2_freeze_candidate_20260525.xlsx,/Users/newhosung/Academic/2026/AI Adoption Meta Analysis/data/04_extraction/01_raw_human_coder_data_freeze/phase2/freeze_candidates/R1/AI_Adoption_MASEM_Coding_v3_R1_Phase0_1_2_freeze_candidate_20260525.xlsx.bak_20260605_tiered_freeze,CORRELATIONS,E6921:M6921,S014,PE-UB,backup_workbook_same_range,Set beta_converted_sensitivity r=0.262 with source-audited freeze note.,"Indirect path via perceived risk is sensitivity-only, not primary direct-r."
repo_freeze_candidate,/Users/newhosung/Academic/2026/AI Adoption Meta Analysis/data/04_extraction/01_raw_human_coder_data_freeze/phase2/freeze_candidates/R1/AI_Adoption_MASEM_Coding_v3_R1_Phase0_1_2_freeze_candidate_20260525.xlsx,/Users/newhosung/Academic/2026/AI Adoption Meta Analysis/data/04_extraction/01_raw_human_coder_data_freeze/phase2/freeze_candidates/R1/AI_Adoption_MASEM_Coding_v3_R1_Phase0_1_2_freeze_candidate_20260525.xlsx.bak_20260605_tiered_freeze,CORRELATIONS,E6928:M6928,S014,SI-UB,backup_workbook_same_range,Set beta_converted_sensitivity r=0.247 with source-audited freeze note.,"Indirect path via perceived risk is sensitivity-only, not primary direct-r."
repo_freeze_candidate,/Users/newhosung/Academic/2026/AI Adoption Meta Analysis/data/04_extraction/01_raw_human_coder_data_freeze/phase2/freeze_candidates/R1/AI_Adoption_MASEM_Coding_v3_R1_Phase0_1_2_freeze_candidate_20260525.xlsx,/Users/newhosung/Academic/2026/AI Adoption Meta Analysis/data/04_extraction/01_raw_human_coder_data_freeze/phase2/freeze_candidates/R1/AI_Adoption_MASEM_Coding_v3_R1_Phase0_1_2_freeze_candidate_20260525.xlsx.bak_20260605_tiered_freeze,CORRELATIONS,D7294:M7294,S195,S195 correlation row,backup_workbook_same_range,Set excluded_source_freeze and freeze rationale.,Duplicate/unusable source-statistic evidence; same DOI/PDF as S206 and PLSR/component-loading or item-level source only.
repo_freeze_candidate,/Users/newhosung/Academic/2026/AI Adoption Meta Analysis/data/04_extraction/01_raw_human_coder_data_freeze/phase2/freeze_candidates/R1/AI_Adoption_MASEM_Coding_v3_R1_Phase0_1_2_freeze_candidate_20260525.xlsx,/Users/newhosung/Academic/2026/AI Adoption Meta Analysis/data/04_extraction/01_raw_human_coder_data_freeze/phase2/freeze_candidates/R1/AI_Adoption_MASEM_Coding_v3_R1_Phase0_1_2_freeze_candidate_20260525.xlsx.bak_20260605_tiered_freeze,CORRELATIONS,D7299:M7299,S195,S195 correlation row,backup_workbook_same_range,Set excluded_source_freeze and freeze rationale.,Duplicate/unusable source-statistic evidence; same DOI/PDF as S206 and PLSR/component-loading or item-level source only.
repo_freeze_candidate,/Users/newhosung/Academic/2026/AI Adoption Meta Analysis/data/04_extraction/01_raw_human_coder_data_freeze/phase2/freeze_candidates/R1/AI_Adoption_MASEM_Coding_v3_R1_Phase0_1_2_freeze_candidate_20260525.xlsx,/Users/newhosung/Academic/2026/AI Adoption Meta Analysis/data/04_extraction/01_raw_human_coder_data_freeze/phase2/freeze_candidates/R1/AI_Adoption_MASEM_Coding_v3_R1_Phase0_1_2_freeze_candidate_20260525.xlsx.bak_20260605_tiered_freeze,CORRELATIONS,D7306:M7306,S195,S195 correlation row,backup_workbook_same_range,Set excluded_source_freeze and freeze rationale.,Duplicate/unusable source-statistic evidence; same DOI/PDF as S206 and PLSR/component-loading or item-level source only.
repo_freeze_candidate,/Users/newhosung/Academic/2026/AI Adoption Meta Analysis/data/04_extraction/01_raw_human_coder_data_freeze/phase2/freeze_candidates/R1/AI_Adoption_MASEM_Coding_v3_R1_Phase0_1_2_freeze_candidate_20260525.xlsx,/Users/newhosung/Academic/2026/AI Adoption Meta Analysis/data/04_extraction/01_raw_human_coder_data_freeze/phase2/freeze_candidates/R1/AI_Adoption_MASEM_Coding_v3_R1_Phase0_1_2_freeze_candidate_20260525.xlsx.bak_20260605_tiered_freeze,CORRELATIONS,D7317:M7317,S195,S195 correlation row,backup_workbook_same_range,Set excluded_source_freeze and freeze rationale.,Duplicate/unusable source-statistic evidence; same DOI/PDF as S206 and PLSR/component-loading or item-level source only.
repo_freeze_candidate,/Users/newhosung/Academic/2026/AI Adoption Meta Analysis/data/04_extraction/01_raw_human_coder_data_freeze/phase2/freeze_candidates/R1/AI_Adoption_MASEM_Coding_v3_R1_Phase0_1_2_freeze_candidate_20260525.xlsx,/Users/newhosung/Academic/2026/AI Adoption Meta Analysis/data/04_extraction/01_raw_human_coder_data_freeze/phase2/freeze_candidates/R1/AI_Adoption_MASEM_Coding_v3_R1_Phase0_1_2_freeze_candidate_20260525.xlsx.bak_20260605_tiered_freeze,CORRELATIONS,D7324:M7324,S195,S195 correlation row,backup_workbook_same_range,Set excluded_source_freeze and freeze rationale.,Duplicate/unusable source-statistic evidence; same DOI/PDF as S206 and PLSR/component-loading or item-level source only.
repo_freeze_candidate,/Users/newhosung/Academic/2026/AI Adoption Meta Analysis/data/04_extraction/01_raw_human_coder_data_freeze/phase2/freeze_candidates/R1/AI_Adoption_MASEM_Coding_v3_R1_Phase0_1_2_freeze_candidate_20260525.xlsx,/Users/newhosung/Academic/2026/AI Adoption Meta Analysis/data/04_extraction/01_raw_human_coder_data_freeze/phase2/freeze_candidates/R1/AI_Adoption_MASEM_Coding_v3_R1_Phase0_1_2_freeze_candidate_20260525.xlsx.bak_20260605_tiered_freeze,EXCLUSION_LOG,I10:I10,S224,exclusion_note,repo freeze-candidate backup row 10,Restore original S224 source-check note in repo freeze candidate only.,Preserve prior S224 exclusion note while applying the S195 freeze note to the correct row.
