route,pair,study_pair_rows
paper_a_core7_att_mediation,ATT-BI,31
paper_a_core7_att_mediation,ATT-EE,27
paper_a_core7_att_mediation,ATT-FC,11
paper_a_core7_att_mediation,ATT-PE,28
paper_a_core7_att_mediation,ATT-SI,13
paper_a_core7_att_mediation,ATT-UB,14
paper_a_core7_att_mediation,BI-EE,55
paper_a_core7_att_mediation,BI-FC,37
paper_a_core7_att_mediation,BI-PE,58
paper_a_core7_att_mediation,BI-SI,40
paper_a_core7_att_mediation,BI-UB,32
paper_a_core7_att_mediation,EE-FC,35
paper_a_core7_att_mediation,EE-PE,59
paper_a_core7_att_mediation,EE-SI,34
paper_a_core7_att_mediation,EE-UB,31
paper_a_core7_att_mediation,FC-PE,35
paper_a_core7_att_mediation,FC-SI,29
paper_a_core7_att_mediation,FC-UB,23
paper_a_core7_att_mediation,PE-SI,36
paper_a_core7_att_mediation,PE-UB,30
paper_a_core7_att_mediation,SI-UB,23
