run_id,model_provider,model_id,model_version,procedure_id,prompt_version,temperature,seed,run_status,locked_output_path,raw_output_storage,notes
paper2_codex_gpt_candidate_YYYYMMDD,openai,codex_gpt_candidate,fill_exact_version_or_session_surface,raw_model_extraction_or_stateful_harness,paper2_task_family_prompt_v1_20260606,0,,planned,,private_or_local_raw_outputs_not_committed,"Codex CLI is present, but 2026-06-06 noninteractive smoke was not stable enough to score; use only after a locked output export is verified."
paper2_codex_full_allfamilies_0000_0049_20260606,openai,codex_cli,codex-cli 0.137.0,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,0,,full_shard_locked_scored,<REPO_ROOT>/data/04_extraction/05_llm_masem_substitution/locked_outputs/model_runs/paper2_codex_full_allfamilies_0000_0049_20260606.csv,private_or_local_raw_outputs_not_committed,Codex CLI generated and scored hook-free full-run shard 0000-0049 with no row-level CLI errors.
paper2_codex_full_allfamilies_0050_0099_20260606,openai,codex_cli,codex-cli 0.137.0,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,0,,full_shard_locked_scored,<REPO_ROOT>/data/04_extraction/05_llm_masem_substitution/locked_outputs/model_runs/paper2_codex_full_allfamilies_0050_0099_20260606.csv,private_or_local_raw_outputs_not_committed,Codex CLI generated and scored hook-free full-run shard 0050-0099 with no row-level CLI errors.
paper2_codex_full_allfamilies_0100_0149_20260606,openai,codex_cli,codex-cli 0.137.0,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,0,,full_shard_locked_scored,<REPO_ROOT>/data/04_extraction/05_llm_masem_substitution/locked_outputs/model_runs/paper2_codex_full_allfamilies_0100_0149_20260606.csv,private_or_local_raw_outputs_not_committed,Codex CLI generated and scored hook-free full-run shard 0100-0149 with no row-level CLI errors.
paper2_claude_smoke_direct_r_20260606,anthropic,claude_code,2.1.165 (Claude Code),raw_model_extraction_smoke,paper2_task_family_prompt_v1_20260606,0,,smoke_locked_scored,<REPO_ROOT>/data/04_extraction/05_llm_masem_substitution/locked_outputs/model_runs/paper2_claude_smoke_direct_r_20260606.csv,private_or_local_raw_outputs_not_committed,Claude CLI smoke generated one locked direct-r row and scored abstention as incorrect for scorable rows.
paper2_gemini_smoke_direct_r_20260606,google,gemini_cli,0.45.1,raw_model_extraction_smoke,paper2_task_family_prompt_v1_20260606,0,,smoke_locked_scored,<REPO_ROOT>/data/04_extraction/05_llm_masem_substitution/locked_outputs/model_runs/paper2_gemini_smoke_direct_r_20260606.csv,private_or_local_raw_outputs_not_committed,Gemini CLI smoke generated one locked direct-r row and scored abstention as incorrect for scorable rows.
paper2_claude_stratified10_allfamilies_20260606,anthropic,claude_code,2.1.165 (Claude Code),raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,0,,stratified_locked_scored,<REPO_ROOT>/data/04_extraction/05_llm_masem_substitution/locked_outputs/model_runs/paper2_claude_stratified10_allfamilies_20260606.csv,private_or_local_raw_outputs_not_committed,Claude CLI generated a 77-row denominator-family stratified locked output with no row-level CLI errors.
paper2_gemini_stratified10_allfamilies_20260606,google,gemini_cli,0.45.1,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,0,,stratified_locked_scored_with_cli_errors,<REPO_ROOT>/data/04_extraction/05_llm_masem_substitution/locked_outputs/model_runs/paper2_gemini_stratified10_allfamilies_20260606.csv,private_or_local_raw_outputs_not_committed,Gemini CLI generated a 77-row denominator-family stratified locked output but retained row-level CLI errors in 37 rows.
paper2_claude_full_allfamilies_0000_0499_20260606,anthropic,claude_code,2.1.165 (Claude Code),raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,0,,full_shard_locked_scored,<REPO_ROOT>/data/04_extraction/05_llm_masem_substitution/locked_outputs/model_runs/paper2_claude_full_allfamilies_0000_0499_20260606.csv,private_or_local_raw_outputs_not_committed,Claude CLI generated and scored full-run shard 0000-0499 with no row-level CLI errors.
paper2_claude_full_allfamilies_0500_0999_20260606,anthropic,claude_code,2.1.165 (Claude Code),raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,0,,full_shard_locked_scored,<REPO_ROOT>/data/04_extraction/05_llm_masem_substitution/locked_outputs/model_runs/paper2_claude_full_allfamilies_0500_0999_20260606.csv,private_or_local_raw_outputs_not_committed,Claude CLI generated and scored full-run shard 0500-0999 with no row-level CLI errors.
