check_id,check_name,status,severity,details,evidence
QA001,Application row file row count,pass,info,"2043 application rows assembled from row feeders, lightweight coder-agreed rows, and partial-completion QA rows.",data/04_extraction/04_reference_standard_freeze/full_corpus_reference_application_rows_draft_20260609.csv
QA002,Study status layer corpus coverage,pass,critical,213 status rows; duplicate studies: none.,data/04_extraction/04_reference_standard_freeze/full_corpus_reference_application_study_status_20260609.csv
QA003,Reference record ID uniqueness,pass,critical,Duplicate reference_record_id values: none.,data/04_extraction/04_reference_standard_freeze/full_corpus_reference_application_rows_draft_20260609.csv
QA004,Correlation value bounds,pass,critical,Invalid or out-of-bound r values: none.,data/04_extraction/04_reference_standard_freeze/full_corpus_reference_application_rows_draft_20260609.csv
QA005,Required application row fields,pass,major,Missing required fields: none.,data/04_extraction/04_reference_standard_freeze/full_corpus_reference_application_rows_draft_20260609.csv
QA006,Included/status-only row consistency,pass,critical,Status-only with rows: none; included without rows: none.,data/04_extraction/04_reference_standard_freeze/full_corpus_reference_application_study_status_20260609.csv
QA007,Lightweight coder-agreed rows,pass,major,Added 449 lightweight coder-agreed rows; beta-converted rows: 26; group issues: none.,combined_coder_values_long_20260525.csv; full_corpus_lightweight_status_audit_20260609.csv
QA008,Partial high-confidence completion rows,warn,caveat,"Added 39 application-QA completion rows for partial Phase 1 drafts: {'S051': 12, 'S151': 9, 'S164': 18}. These require researcher/final-freeze authorization review.",phase1_high_confidence_reference_draft_status_20260608.csv; full_corpus_reference_application_rows_draft_20260609.csv
QA009,S203 source-corrected sample size,warn,caveat,S203 coder metadata disagreed on N=251 vs N=303; application rows use N=251 based on source text that identifies 251 valid/effective analysis cases.,S203.pdf source text check; combined_coder_values_long_20260525.csv
QA010,Caveat preservation before freeze,warn,caveat,"Caveats retained for S074 ANX/AXT orientation, S187 Stress-to-ANX mapping, path/beta-converted rows, HTMT exclusions, manual-resolution studies, S151 UB wording, and partial-completion studies.",data/04_extraction/04_reference_standard_freeze/full_corpus_reference_application_study_status_20260609.csv
QA011,Status-only studies,pass,info,"19 studies have zero application rows and status-only handling: S014, S023, S039, S041, S101, S105, S108, S109, S118, S132, S144, S180, S195, S196, S202, S206, S215, S220, S224.",data/04_extraction/04_reference_standard_freeze/full_corpus_reference_application_study_status_20260609.csv
QA012,Step 5 gate,pass,info,No Step 5 result file was generated by this application/QA step; full freeze authorization remains pending.,data/04_extraction/05_llm_masem_substitution not modified by this script
