run_id,model_provider,model_id,model_version,procedure_id,prompt_version,run_timestamp_utc,temperature,seed,task_unit_id,study_id,llm_task_family,denominator_family,scoring_eligibility,expected_answer_type,evaluation_unit_text,model_input_text,model_answer,model_answer_normalized,model_source_locator,model_source_quote,model_confidence,abstained,error_code,raw_output_ref,locked_answer_status,lock_timestamp_utc,locked_by,notes,raw_beta_value,converted_effect_value,conversion_method
paper_b_full_corpus_m1_raw_bounded_shard_0090_20260611,openai,codex:gpt-5.5,codex-cli 0.139.0; model_selector=gpt-5.5,raw_model_extraction_source_rendered_bounded_shard,paper_b_step5_full_corpus_prompt_v1_20260609_source_packet_bounded_shard,2026-06-11T07:20:00Z,0,,FC-S5-TASK-00053,S006,direct_r_effect_size_extraction,primary_direct_r_or_source_reported_correlation,eligible_after_locked_llm_output,numeric_r_effect_size,Study: S006 | Reference record: S006_full_sample_BI_EE | Sample/stratum: full_sample | N: 1167 | Construct pair: BI-EE | Human reference r: 0.367 | Reference source type: coder_agreed_direct_correlation | Evidence type: coder_agreed_direct_correlation | Source location: Table 6 | Caveats: none | Notes: Coder-agreed lightweight carry-forward; no new source-value adjudication record was created. Lightweight audit note: Metadata/status differences only; 15 of 15 unique agreed rows have at least one coded source-location entry. No new source-value adjudication record was created. Frozen in full-corpus source-anchored adjudicated human reference standard on 2026-06-09; original application decision_status=included_coder_agreed_correlation_rows_application_draft.,Study: S006 | Sample/stratum: full_sample | Construct pair: BI-EE | Expected answer type: numeric_r_effect_size | Evidence family to recover: direct_r_effect_size_extraction | Use only the locked source-document rendering/chunks for the authorized run condition. This task stub intentionally excludes the human reference value.,r = 0.367,0.367,"S006_doc1 page 14 chunk 1, Table 6",,high,False,,not_persisted_batch,locked,2026-06-11T07:20:00Z,codex_noninteractive_batch,BI mapped to Adoption Intention; EE mapped to Effort Expectancy.,,,
paper_b_full_corpus_m1_raw_bounded_shard_0090_20260611,openai,codex:gpt-5.5,codex-cli 0.139.0; model_selector=gpt-5.5,raw_model_extraction_source_rendered_bounded_shard,paper_b_step5_full_corpus_prompt_v1_20260609_source_packet_bounded_shard,2026-06-11T07:20:00Z,0,,FC-S5-TASK-00054,S006,direct_r_effect_size_extraction,primary_direct_r_or_source_reported_correlation,eligible_after_locked_llm_output,numeric_r_effect_size,Study: S006 | Reference record: S006_full_sample_BI_FC | Sample/stratum: full_sample | N: 1167 | Construct pair: BI-FC | Human reference r: 0.22 | Reference source type: coder_agreed_direct_correlation | Evidence type: coder_agreed_direct_correlation | Source location: Table 6 | Caveats: none | Notes: Coder-agreed lightweight carry-forward; no new source-value adjudication record was created. Lightweight audit note: Metadata/status differences only; 15 of 15 unique agreed rows have at least one coded source-location entry. No new source-value adjudication record was created. Frozen in full-corpus source-anchored adjudicated human reference standard on 2026-06-09; original application decision_status=included_coder_agreed_correlation_rows_application_draft.,Study: S006 | Sample/stratum: full_sample | Construct pair: BI-FC | Expected answer type: numeric_r_effect_size | Evidence family to recover: direct_r_effect_size_extraction | Use only the locked source-document rendering/chunks for the authorized run condition. This task stub intentionally excludes the human reference value.,r = 0.220,0.22,"S006_doc1 page 14 chunk 1, Table 6",,high,False,,not_persisted_batch,locked,2026-06-11T07:20:00Z,codex_noninteractive_batch,BI mapped to Adoption Intention; FC mapped to Facilitating Conditions.,,,
paper_b_full_corpus_m1_raw_bounded_shard_0090_20260611,openai,codex:gpt-5.5,codex-cli 0.139.0; model_selector=gpt-5.5,raw_model_extraction_source_rendered_bounded_shard,paper_b_step5_full_corpus_prompt_v1_20260609_source_packet_bounded_shard,2026-06-11T07:20:00Z,0,,FC-S5-TASK-00055,S006,direct_r_effect_size_extraction,primary_direct_r_or_source_reported_correlation,eligible_after_locked_llm_output,numeric_r_effect_size,Study: S006 | Reference record: S006_full_sample_BI_PE | Sample/stratum: full_sample | N: 1167 | Construct pair: BI-PE | Human reference r: 0.626 | Reference source type: coder_agreed_direct_correlation | Evidence type: coder_agreed_direct_correlation | Source location: Table 6 | Caveats: none | Notes: Coder-agreed lightweight carry-forward; no new source-value adjudication record was created. Lightweight audit note: Metadata/status differences only; 15 of 15 unique agreed rows have at least one coded source-location entry. No new source-value adjudication record was created. Frozen in full-corpus source-anchored adjudicated human reference standard on 2026-06-09; original application decision_status=included_coder_agreed_correlation_rows_application_draft.,Study: S006 | Sample/stratum: full_sample | Construct pair: BI-PE | Expected answer type: numeric_r_effect_size | Evidence family to recover: direct_r_effect_size_extraction | Use only the locked source-document rendering/chunks for the authorized run condition. This task stub intentionally excludes the human reference value.,r = 0.626,0.626,"S006_doc1 page 14 chunk 1, Table 6",,high,False,,not_persisted_batch,locked,2026-06-11T07:20:00Z,codex_noninteractive_batch,BI mapped to Adoption Intention; PE mapped to Performance Expectancy.,,,
paper_b_full_corpus_m1_raw_bounded_shard_0090_20260611,openai,codex:gpt-5.5,codex-cli 0.139.0; model_selector=gpt-5.5,raw_model_extraction_source_rendered_bounded_shard,paper_b_step5_full_corpus_prompt_v1_20260609_source_packet_bounded_shard,2026-06-11T07:20:00Z,0,,FC-S5-TASK-00056,S006,direct_r_effect_size_extraction,primary_direct_r_or_source_reported_correlation,eligible_after_locked_llm_output,numeric_r_effect_size,Study: S006 | Reference record: S006_full_sample_BI_SI | Sample/stratum: full_sample | N: 1167 | Construct pair: BI-SI | Human reference r: 0.421 | Reference source type: coder_agreed_direct_correlation | Evidence type: coder_agreed_direct_correlation | Source location: Table 6 | Caveats: none | Notes: Coder-agreed lightweight carry-forward; no new source-value adjudication record was created. Lightweight audit note: Metadata/status differences only; 15 of 15 unique agreed rows have at least one coded source-location entry. No new source-value adjudication record was created. Frozen in full-corpus source-anchored adjudicated human reference standard on 2026-06-09; original application decision_status=included_coder_agreed_correlation_rows_application_draft.,Study: S006 | Sample/stratum: full_sample | Construct pair: BI-SI | Expected answer type: numeric_r_effect_size | Evidence family to recover: direct_r_effect_size_extraction | Use only the locked source-document rendering/chunks for the authorized run condition. This task stub intentionally excludes the human reference value.,r = 0.421,0.421,"S006_doc1 page 14 chunk 1, Table 6",,high,False,,not_persisted_batch,locked,2026-06-11T07:20:00Z,codex_noninteractive_batch,BI mapped to Adoption Intention; SI mapped to Social Influence.,,,
paper_b_full_corpus_m1_raw_bounded_shard_0090_20260611,openai,codex:gpt-5.5,codex-cli 0.139.0; model_selector=gpt-5.5,raw_model_extraction_source_rendered_bounded_shard,paper_b_step5_full_corpus_prompt_v1_20260609_source_packet_bounded_shard,2026-06-11T07:20:00Z,0,,FC-S5-TASK-00057,S006,direct_r_effect_size_extraction,primary_direct_r_or_source_reported_correlation,eligible_after_locked_llm_output,numeric_r_effect_size,Study: S006 | Reference record: S006_full_sample_BI_UB | Sample/stratum: full_sample | N: 1167 | Construct pair: BI-UB | Human reference r: 0.596 | Reference source type: coder_agreed_direct_correlation | Evidence type: coder_agreed_direct_correlation | Source location: Table 6 | Caveats: none | Notes: Coder-agreed lightweight carry-forward; no new source-value adjudication record was created. Lightweight audit note: Metadata/status differences only; 15 of 15 unique agreed rows have at least one coded source-location entry. No new source-value adjudication record was created. Frozen in full-corpus source-anchored adjudicated human reference standard on 2026-06-09; original application decision_status=included_coder_agreed_correlation_rows_application_draft.,Study: S006 | Sample/stratum: full_sample | Construct pair: BI-UB | Expected answer type: numeric_r_effect_size | Evidence family to recover: direct_r_effect_size_extraction | Use only the locked source-document rendering/chunks for the authorized run condition. This task stub intentionally excludes the human reference value.,r = 0.596,0.596,"S006_doc1 page 14 chunk 1, Table 6",,high,False,,not_persisted_batch,locked,2026-06-11T07:20:00Z,codex_noninteractive_batch,BI mapped to Adoption Intention; UB mapped to Usage Behavior.,,,
paper_b_full_corpus_m1_raw_bounded_shard_0090_20260611,openai,codex:gpt-5.5,codex-cli 0.139.0; model_selector=gpt-5.5,raw_model_extraction_source_rendered_bounded_shard,paper_b_step5_full_corpus_prompt_v1_20260609_source_packet_bounded_shard,2026-06-11T07:20:00Z,0,,FC-S5-TASK-00058,S006,direct_r_effect_size_extraction,primary_direct_r_or_source_reported_correlation,eligible_after_locked_llm_output,numeric_r_effect_size,Study: S006 | Reference record: S006_full_sample_EE_FC | Sample/stratum: full_sample | N: 1167 | Construct pair: EE-FC | Human reference r: 0.333 | Reference source type: coder_agreed_direct_correlation | Evidence type: coder_agreed_direct_correlation | Source location: Table 6 | Caveats: none | Notes: Coder-agreed lightweight carry-forward; no new source-value adjudication record was created. Lightweight audit note: Metadata/status differences only; 15 of 15 unique agreed rows have at least one coded source-location entry. No new source-value adjudication record was created. Frozen in full-corpus source-anchored adjudicated human reference standard on 2026-06-09; original application decision_status=included_coder_agreed_correlation_rows_application_draft.,Study: S006 | Sample/stratum: full_sample | Construct pair: EE-FC | Expected answer type: numeric_r_effect_size | Evidence family to recover: direct_r_effect_size_extraction | Use only the locked source-document rendering/chunks for the authorized run condition. This task stub intentionally excludes the human reference value.,r = 0.333,0.333,"S006_doc1 page 14 chunk 1, Table 6",,high,False,,not_persisted_batch,locked,2026-06-11T07:20:00Z,codex_noninteractive_batch,EE mapped to Effort Expectancy; FC mapped to Facilitating Conditions.,,,
paper_b_full_corpus_m1_raw_bounded_shard_0090_20260611,openai,codex:gpt-5.5,codex-cli 0.139.0; model_selector=gpt-5.5,raw_model_extraction_source_rendered_bounded_shard,paper_b_step5_full_corpus_prompt_v1_20260609_source_packet_bounded_shard,2026-06-11T07:20:00Z,0,,FC-S5-TASK-00059,S006,direct_r_effect_size_extraction,primary_direct_r_or_source_reported_correlation,eligible_after_locked_llm_output,numeric_r_effect_size,Study: S006 | Reference record: S006_full_sample_EE_PE | Sample/stratum: full_sample | N: 1167 | Construct pair: EE-PE | Human reference r: 0.334 | Reference source type: coder_agreed_direct_correlation | Evidence type: coder_agreed_direct_correlation | Source location: Table 6 | Caveats: none | Notes: Coder-agreed lightweight carry-forward; no new source-value adjudication record was created. Lightweight audit note: Metadata/status differences only; 15 of 15 unique agreed rows have at least one coded source-location entry. No new source-value adjudication record was created. Frozen in full-corpus source-anchored adjudicated human reference standard on 2026-06-09; original application decision_status=included_coder_agreed_correlation_rows_application_draft.,Study: S006 | Sample/stratum: full_sample | Construct pair: EE-PE | Expected answer type: numeric_r_effect_size | Evidence family to recover: direct_r_effect_size_extraction | Use only the locked source-document rendering/chunks for the authorized run condition. This task stub intentionally excludes the human reference value.,r = 0.334,0.334,"S006_doc1 page 14 chunk 1, Table 6",,high,False,,not_persisted_batch,locked,2026-06-11T07:20:00Z,codex_noninteractive_batch,EE mapped to Effort Expectancy; PE mapped to Performance Expectancy.,,,
paper_b_full_corpus_m1_raw_bounded_shard_0090_20260611,openai,codex:gpt-5.5,codex-cli 0.139.0; model_selector=gpt-5.5,raw_model_extraction_source_rendered_bounded_shard,paper_b_step5_full_corpus_prompt_v1_20260609_source_packet_bounded_shard,2026-06-11T07:20:00Z,0,,FC-S5-TASK-00060,S006,direct_r_effect_size_extraction,primary_direct_r_or_source_reported_correlation,eligible_after_locked_llm_output,numeric_r_effect_size,Study: S006 | Reference record: S006_full_sample_EE_SI | Sample/stratum: full_sample | N: 1167 | Construct pair: EE-SI | Human reference r: 0.377 | Reference source type: coder_agreed_direct_correlation | Evidence type: coder_agreed_direct_correlation | Source location: Table 6 | Caveats: none | Notes: Coder-agreed lightweight carry-forward; no new source-value adjudication record was created. Lightweight audit note: Metadata/status differences only; 15 of 15 unique agreed rows have at least one coded source-location entry. No new source-value adjudication record was created. Frozen in full-corpus source-anchored adjudicated human reference standard on 2026-06-09; original application decision_status=included_coder_agreed_correlation_rows_application_draft.,Study: S006 | Sample/stratum: full_sample | Construct pair: EE-SI | Expected answer type: numeric_r_effect_size | Evidence family to recover: direct_r_effect_size_extraction | Use only the locked source-document rendering/chunks for the authorized run condition. This task stub intentionally excludes the human reference value.,r = 0.377,0.377,"S006_doc1 page 14 chunk 1, Table 6",,high,False,,not_persisted_batch,locked,2026-06-11T07:20:00Z,codex_noninteractive_batch,EE mapped to Effort Expectancy; SI mapped to Social Influence.,,,
paper_b_full_corpus_m1_raw_bounded_shard_0090_20260611,openai,codex:gpt-5.5,codex-cli 0.139.0; model_selector=gpt-5.5,raw_model_extraction_source_rendered_bounded_shard,paper_b_step5_full_corpus_prompt_v1_20260609_source_packet_bounded_shard,2026-06-11T07:20:00Z,0,,FC-S5-TASK-00061,S006,direct_r_effect_size_extraction,primary_direct_r_or_source_reported_correlation,eligible_after_locked_llm_output,numeric_r_effect_size,Study: S006 | Reference record: S006_full_sample_EE_UB | Sample/stratum: full_sample | N: 1167 | Construct pair: EE-UB | Human reference r: 0.307 | Reference source type: coder_agreed_direct_correlation | Evidence type: coder_agreed_direct_correlation | Source location: Table 6 | Caveats: none | Notes: Coder-agreed lightweight carry-forward; no new source-value adjudication record was created. Lightweight audit note: Metadata/status differences only; 15 of 15 unique agreed rows have at least one coded source-location entry. No new source-value adjudication record was created. Frozen in full-corpus source-anchored adjudicated human reference standard on 2026-06-09; original application decision_status=included_coder_agreed_correlation_rows_application_draft.,Study: S006 | Sample/stratum: full_sample | Construct pair: EE-UB | Expected answer type: numeric_r_effect_size | Evidence family to recover: direct_r_effect_size_extraction | Use only the locked source-document rendering/chunks for the authorized run condition. This task stub intentionally excludes the human reference value.,r = 0.307,0.307,"S006_doc1 page 14 chunk 1, Table 6",,high,False,,not_persisted_batch,locked,2026-06-11T07:20:00Z,codex_noninteractive_batch,EE mapped to Effort Expectancy; UB mapped to Usage Behavior.,,,
paper_b_full_corpus_m1_raw_bounded_shard_0090_20260611,openai,codex:gpt-5.5,codex-cli 0.139.0; model_selector=gpt-5.5,raw_model_extraction_source_rendered_bounded_shard,paper_b_step5_full_corpus_prompt_v1_20260609_source_packet_bounded_shard,2026-06-11T07:20:00Z,0,,FC-S5-TASK-00062,S006,direct_r_effect_size_extraction,primary_direct_r_or_source_reported_correlation,eligible_after_locked_llm_output,numeric_r_effect_size,Study: S006 | Reference record: S006_full_sample_FC_PE | Sample/stratum: full_sample | N: 1167 | Construct pair: FC-PE | Human reference r: 0.134 | Reference source type: coder_agreed_direct_correlation | Evidence type: coder_agreed_direct_correlation | Source location: Table 6 | Caveats: none | Notes: Coder-agreed lightweight carry-forward; no new source-value adjudication record was created. Lightweight audit note: Metadata/status differences only; 15 of 15 unique agreed rows have at least one coded source-location entry. No new source-value adjudication record was created. Frozen in full-corpus source-anchored adjudicated human reference standard on 2026-06-09; original application decision_status=included_coder_agreed_correlation_rows_application_draft.,Study: S006 | Sample/stratum: full_sample | Construct pair: FC-PE | Expected answer type: numeric_r_effect_size | Evidence family to recover: direct_r_effect_size_extraction | Use only the locked source-document rendering/chunks for the authorized run condition. This task stub intentionally excludes the human reference value.,r = 0.134,0.134,"S006_doc1 page 14 chunk 1, Table 6",,high,False,,not_persisted_batch,locked,2026-06-11T07:20:00Z,codex_noninteractive_batch,FC mapped to Facilitating Conditions; PE mapped to Performance Expectancy.,,,
paper_b_full_corpus_m1_raw_bounded_shard_0090_20260611,openai,codex:gpt-5.5,codex-cli 0.139.0; model_selector=gpt-5.5,raw_model_extraction_source_rendered_bounded_shard,paper_b_step5_full_corpus_prompt_v1_20260609_source_packet_bounded_shard,2026-06-11T07:20:00Z,0,,FC-S5-TASK-00063,S006,direct_r_effect_size_extraction,primary_direct_r_or_source_reported_correlation,eligible_after_locked_llm_output,numeric_r_effect_size,Study: S006 | Reference record: S006_full_sample_FC_SI | Sample/stratum: full_sample | N: 1167 | Construct pair: FC-SI | Human reference r: -0.029 | Reference source type: coder_agreed_direct_correlation | Evidence type: coder_agreed_direct_correlation | Source location: Table 6 | Caveats: none | Notes: Coder-agreed lightweight carry-forward; no new source-value adjudication record was created. Lightweight audit note: Metadata/status differences only; 15 of 15 unique agreed rows have at least one coded source-location entry. No new source-value adjudication record was created. Frozen in full-corpus source-anchored adjudicated human reference standard on 2026-06-09; original application decision_status=included_coder_agreed_correlation_rows_application_draft.,Study: S006 | Sample/stratum: full_sample | Construct pair: FC-SI | Expected answer type: numeric_r_effect_size | Evidence family to recover: direct_r_effect_size_extraction | Use only the locked source-document rendering/chunks for the authorized run condition. This task stub intentionally excludes the human reference value.,-0.029,-0.029,S006_doc1 page 14 chunk 1,,0.95,False,,not_persisted_batch,locked,2026-06-11T07:20:00Z,codex_noninteractive_batch,Extracted from Table 6 Fornell-Larcker correlation matrix; FC is variable 5 and SI is variable 3.,,,
