route,pair,study_pair_rows
paper_a_full10_theory_target,ANX-ATT,6
paper_a_full10_theory_target,ANX-BI,3
paper_a_full10_theory_target,ANX-EE,3
paper_a_full10_theory_target,ANX-FC,2
paper_a_full10_theory_target,ANX-PE,4
paper_a_full10_theory_target,ANX-SE,2
paper_a_full10_theory_target,ANX-SI,3
paper_a_full10_theory_target,ANX-TRU,2
paper_a_full10_theory_target,ANX-UB,2
paper_a_full10_theory_target,ATT-BI,31
paper_a_full10_theory_target,ATT-EE,27
paper_a_full10_theory_target,ATT-FC,11
paper_a_full10_theory_target,ATT-PE,28
paper_a_full10_theory_target,ATT-SE,5
paper_a_full10_theory_target,ATT-SI,13
paper_a_full10_theory_target,ATT-TRU,3
paper_a_full10_theory_target,ATT-UB,14
paper_a_full10_theory_target,BI-EE,55
paper_a_full10_theory_target,BI-FC,37
paper_a_full10_theory_target,BI-PE,58
paper_a_full10_theory_target,BI-SE,9
paper_a_full10_theory_target,BI-SI,40
paper_a_full10_theory_target,BI-TRU,13
paper_a_full10_theory_target,BI-UB,32
paper_a_full10_theory_target,EE-FC,35
paper_a_full10_theory_target,EE-PE,59
paper_a_full10_theory_target,EE-SE,7
paper_a_full10_theory_target,EE-SI,34
paper_a_full10_theory_target,EE-TRU,11
paper_a_full10_theory_target,EE-UB,31
paper_a_full10_theory_target,FC-PE,35
paper_a_full10_theory_target,FC-SE,6
paper_a_full10_theory_target,FC-SI,29
paper_a_full10_theory_target,FC-TRU,6
paper_a_full10_theory_target,FC-UB,23
paper_a_full10_theory_target,PE-SE,14
paper_a_full10_theory_target,PE-SI,36
paper_a_full10_theory_target,PE-TRU,13
paper_a_full10_theory_target,PE-UB,30
paper_a_full10_theory_target,SE-SI,6
paper_a_full10_theory_target,SE-TRU,1
paper_a_full10_theory_target,SE-UB,5
paper_a_full10_theory_target,SI-TRU,10
paper_a_full10_theory_target,SI-UB,23
paper_a_full10_theory_target,TRU-UB,9
