study_id,decision,freeze_tier,model_eligibility,scoring_eligibility,source_locator,rationale
S014,retain_sensitivity_only,frozen_sensitivity_converted_indirect_path,exclude_primary_direct_r,eligible_converted_effect_size_after_locked_llm_output,S014.pdf; Table 4; path analysis,"R1 coded indirect effects through perceived risk. Source confirms path-analysis evidence, but these are not source-reported zero-order/direct-r correlations."
S021,retain_sensitivity_only,frozen_sensitivity_pre_post_path_model,exclude_primary_direct_r,eligible_path_task_after_locked_llm_output,S021.pdf; structural paths; Supplementary Table S4/f2 path note,"Source reports pre/post genAI acceptance structural paths. Treat as path-model evidence with temporal-design labels, not as direct zero-order r."
S056,retain_sensitivity_only,frozen_sensitivity_path_coefficients,exclude_primary_direct_r,eligible_path_task_after_locked_llm_output,S056.pdf; Table 3 path significance and coefficients,Source Table 3 confirms standardized path coefficients for ChatGPT acceptance; usable for converted/path task family only.
S072,exclude_r_abs_equals_1_primary,frozen_trace_influence_diagnostic_only,exclude_primary_direct_r,not_scorable_as_accuracy_answer,S072.pdf; Table 2 Fornell-Larcker/latent correlations; Table 3 path analysis,The R3 ANX-EE r=1.0 value is incompatible with primary direct-r model input and likely reflects table/diagonal or construct-mapping confusion. User approved primary exclusion.
S092,retain_sensitivity_only,frozen_sensitivity_sem_path_coefficients,exclude_primary_direct_r,eligible_path_task_after_locked_llm_output,S092.pdf; SEM results; Figure/Table path evidence,"Source confirms SEM/path evidence for ChatGPT adoption among students; preserve as converted/path task family, not primary zero-order r."
S097,exclude_primary_source_statistic,frozen_sensitivity_source_statistic_only,exclude_primary_direct_r,eligible_source_statistic_task_after_locked_llm_output,S097.pdf; abstract/results mention correlations/regression,Paper1 primary rows were source-blank/source-statistic review candidates. Keep as trace/sensitivity until an explicit direct-r table locator is locked.
S121,retain_sensitivity_only,frozen_sensitivity_latent_sem_or_path,exclude_primary_direct_r,eligible_path_or_latent_task_after_locked_llm_output,S121.pdf; SEM/PLS-SEM results and Figure 2 path/correlation evidence,Source confirms SEM/PLS-SEM evidence; retain in a separated path/latent tier and do not pool as direct observed zero-order r.
S146,exclude_primary_source_statistic,frozen_sensitivity_source_statistic_only,exclude_primary_direct_r,eligible_source_statistic_task_after_locked_llm_output,S146.pdf; tables/source-statistic evidence,Paper1 primary rows were source-blank/source-statistic review candidates. Keep as trace/sensitivity until an explicit direct-r table locator is locked.
S184,exclude_primary_source_statistic,frozen_sensitivity_source_statistic_only,exclude_primary_direct_r,eligible_source_statistic_task_after_locked_llm_output,S184.pdf; SEM/facilitating-environment source evidence,"Paper1 FC-SI primary row was a source-blank/source-statistic review candidate. Keep as trace/sensitivity, not primary direct-r."
S195,exclude_duplicate_source,frozen_excluded_duplicate_unusable_source_statistic,exclude_study,not_scorable_excluded_duplicate_source,S195.pdf; same DOI/PDF as S206; PLSR/component-loading evidence,Same source/DOI as S206 and source uses PLSR component loadings/item-level evidence rather than usable construct-level MASEM statistics.
S202,retain_sensitivity_only,frozen_sensitivity_fornell_larcker_or_path,exclude_primary_direct_r,eligible_latent_or_path_task_after_locked_llm_output,S202.pdf; Table 4 construct correlations; Table 5 path coefficients,Source reports Fornell-Larcker-style latent correlations and SEM path coefficients. Preserve source type separation before MASEM/LLM scoring.
S206,exclude_duplicate_source,frozen_excluded_duplicate_unusable_source_statistic,exclude_study,not_scorable_excluded_duplicate_source,S206.pdf; same DOI/PDF as S195; PLSR/component-loading evidence,Same source/DOI as S195 and source uses PLSR component loadings/item-level evidence rather than usable construct-level MASEM statistics.
