coder,sheet,study_id,construct_1,construct_2,pair,r_value,original_beta,r_source,source_location,flag,notes,sample_size
R1,CORRELATIONS,S222,ANX,ATT,ANX-ATT,,,,,,,50.0
R1,CORRELATIONS,S222,ANX,BI,ANX-BI,,,,,,,50.0
R1,CORRELATIONS,S222,ANX,EE,ANX-EE,,,,,,,50.0
R1,CORRELATIONS,S222,ANX,FC,ANX-FC,,,,,,,50.0
R1,CORRELATIONS,S222,ANX,PE,ANX-PE,,,,,,,50.0
R1,CORRELATIONS,S222,ANX,SE,ANX-SE,,,,,,,50.0
R1,CORRELATIONS,S222,ANX,SI,ANX-SI,,,,,,,50.0
R1,CORRELATIONS,S222,ANX,TRU,ANX-TRU,,,,,,,50.0
R1,CORRELATIONS,S222,ANX,UB,ANX-UB,,,,,,,50.0
R1,CORRELATIONS,S222,ATT,BI,ATT-BI,,,,,,,50.0
R1,CORRELATIONS,S222,ATT,EE,ATT-EE,,,,,,,50.0
R1,CORRELATIONS,S222,ATT,FC,ATT-FC,,,,,,,50.0
R1,CORRELATIONS,S222,ATT,PE,ATT-PE,,,,,,,50.0
R1,CORRELATIONS,S222,ATT,SE,ATT-SE,,,,,,,50.0
R1,CORRELATIONS,S222,ATT,SI,ATT-SI,,,,,,,50.0
R1,CORRELATIONS,S222,ATT,TRU,ATT-TRU,,,,,,,50.0
R1,CORRELATIONS,S222,ATT,UB,ATT-UB,,,,,,,50.0
R1,CORRELATIONS,S222,BI,EE,BI-EE,0.46,0.405,beta_converted,"Table 6, p.2028",,,50.0
R1,CORRELATIONS,S222,BI,FC,BI-FC,,,,,,,50.0
R1,CORRELATIONS,S222,BI,PE,BI-PE,0.58,0.531,beta_converted,"Table 6, p.2028",,,50.0
R1,CORRELATIONS,S222,BI,SE,BI-SE,,,,,,,50.0
R1,CORRELATIONS,S222,BI,SI,BI-SI,,,,,,,50.0
R1,CORRELATIONS,S222,BI,TRU,BI-TRU,,,,,,,50.0
R1,CORRELATIONS,S222,BI,UB,BI-UB,,,,,,,50.0
R1,CORRELATIONS,S222,EE,FC,EE-FC,,,,,,,50.0
R1,CORRELATIONS,S222,EE,PE,EE-PE,,,,,,,50.0
R1,CORRELATIONS,S222,EE,SE,EE-SE,,,,,,,50.0
R1,CORRELATIONS,S222,EE,SI,EE-SI,,,,,,,50.0
R1,CORRELATIONS,S222,EE,TRU,EE-TRU,,,,,,,50.0
R1,CORRELATIONS,S222,EE,UB,EE-UB,,,,,,,50.0
R1,CORRELATIONS,S222,FC,PE,FC-PE,,,,,,,50.0
R1,CORRELATIONS,S222,FC,SE,FC-SE,,,,,,,50.0
R1,CORRELATIONS,S222,FC,SI,FC-SI,,,,,,,50.0
R1,CORRELATIONS,S222,FC,TRU,FC-TRU,,,,,,,50.0
R1,CORRELATIONS,S222,FC,UB,FC-UB,,,,,,,50.0
R1,CORRELATIONS,S222,PE,SE,PE-SE,,,,,,,50.0
R1,CORRELATIONS,S222,PE,SI,PE-SI,,,,,,,50.0
R1,CORRELATIONS,S222,PE,TRU,PE-TRU,,,,,,,50.0
R1,CORRELATIONS,S222,PE,UB,PE-UB,,,,,,,50.0
R1,CORRELATIONS,S222,SE,SI,SE-SI,,,,,,,50.0
R1,CORRELATIONS,S222,SE,TRU,SE-TRU,,,,,,,50.0
R1,CORRELATIONS,S222,SE,UB,SE-UB,,,,,,,50.0
R1,CORRELATIONS,S222,SI,TRU,SI-TRU,,,,,,,50.0
R1,CORRELATIONS,S222,SI,UB,SI-UB,,,,,,,50.0
R1,CORRELATIONS,S222,TRU,UB,TRU-UB,,,,,,,50.0
R1,CORRELATIONS,S218,ANX,ATT,ANX-ATT,,,,,,,242.0
R1,CORRELATIONS,S218,ANX,BI,ANX-BI,,,,,,,242.0
R1,CORRELATIONS,S218,ANX,EE,ANX-EE,,,,,,,242.0
R1,CORRELATIONS,S218,ANX,FC,ANX-FC,,,,,,,242.0
R1,CORRELATIONS,S218,ANX,PE,ANX-PE,,,,,,,242.0
R1,CORRELATIONS,S218,ANX,SE,ANX-SE,,,,,,,242.0
R1,CORRELATIONS,S218,ANX,SI,ANX-SI,,,,,,,242.0
