run_id,model_provider,model_id,model_version,procedure_id,prompt_version,run_timestamp_utc,temperature,seed,task_unit_id,study_id,llm_task_family,denominator_family,scoring_eligibility,expected_answer_type,evaluation_unit_text,model_input_text,model_answer,model_answer_normalized,model_source_locator,model_source_quote,model_confidence,abstained,error_code,raw_output_ref,locked_answer_status,lock_timestamp_utc,locked_by,notes
paper2_gemini3flash_full_allfamilies_6500_6749_20260607,google,gemini:gemini-3-flash-preview,0.45.2; model_selector=gemini-3-flash-preview,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-07T03:19:00Z,0,,P2-TASK-07316,S002,direct_r_effect_size_extraction,direct_r_effect_size_extraction,eligible_after_locked_llm_output,numeric_effect_size_with_source_type,Study: S002 | Task family: direct_r_effect_size_extraction | Field/construct pair: EE-FC | Human consensus value: source=direct; beta=0.602; sig=NR | Source/evidence note: Value mismatch; Beta/path mismatch; Value / significance mismatch; loc: Table 9,Study: S002 | Task family: direct_r_effect_size_extraction | Field/construct pair: EE-FC | Expected answer type: numeric_effect_size_with_source_type | Source locator: source_sheet_row=7102 | Source evidence: Value mismatch; Beta/path mismatch; Value / significance mismatch; loc: Table 9 | Notes: R2 override applied from disagreement trace. ready_r_value_direct,,,source_sheet_row=7102; Table 9,Value mismatch; Beta/path mismatch; Value / significance mismatch,0.0,True,insufficient_evidence,not_persisted_batch,locked,2026-06-07T03:19:00Z,gemini_cli_noninteractive_batch,R2 override applied from disagreement trace. ready_r_value_direct
paper2_gemini3flash_full_allfamilies_6500_6749_20260607,google,gemini:gemini-3-flash-preview,0.45.2; model_selector=gemini-3-flash-preview,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-07T03:19:00Z,0,,P2-TASK-07317,S002,direct_r_effect_size_extraction,direct_r_effect_size_extraction,eligible_after_locked_llm_output,numeric_effect_size_with_source_type,Study: S002 | Task family: direct_r_effect_size_extraction | Field/construct pair: EE-PE | Human consensus value: source=direct; beta=0.592; sig=NR | Source/evidence note: Value mismatch; Beta/path mismatch; Value / significance mismatch; loc: Table 9,Study: S002 | Task family: direct_r_effect_size_extraction | Field/construct pair: EE-PE | Expected answer type: numeric_effect_size_with_source_type | Source locator: source_sheet_row=7103 | Source evidence: Value mismatch; Beta/path mismatch; Value / significance mismatch; loc: Table 9 | Notes: R2 override applied from disagreement trace. ready_r_value_direct,,,source_sheet_row=7103; Table 9,Value mismatch; Beta/path mismatch; Value / significance mismatch,0.0,True,insufficient_evidence,not_persisted_batch,locked,2026-06-07T03:19:00Z,gemini_cli_noninteractive_batch,R2 override applied from disagreement trace. ready_r_value_direct
paper2_gemini3flash_full_allfamilies_6500_6749_20260607,google,gemini:gemini-3-flash-preview,0.45.2; model_selector=gemini-3-flash-preview,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-07T03:19:00Z,0,,P2-TASK-07318,S002,absence_or_blank_consensus,absence_or_blank_consensus,eligible_after_locked_llm_output,blank_or_no_reported_value,Study: S002 | Task family: absence_or_blank_consensus | Field/construct pair: EE-SE | Human consensus value:  | Source/evidence note: blank_or_no_reported_statistic_consensus,Study: S002 | Task family: absence_or_blank_consensus | Field/construct pair: EE-SE | Expected answer type: blank_or_no_reported_value | Source locator: source_sheet_row=7104 | Source evidence:  | Notes: blank_or_no_reported_statistic_consensus,Not reported,,source_sheet_row=7104,blank_or_no_reported_statistic_consensus,1.0,False,,not_persisted_batch,locked,2026-06-07T03:19:00Z,gemini_cli_noninteractive_batch,blank_or_no_reported_statistic_consensus
paper2_gemini3flash_full_allfamilies_6500_6749_20260607,google,gemini:gemini-3-flash-preview,0.45.2; model_selector=gemini-3-flash-preview,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-07T03:19:00Z,0,,P2-TASK-07319,S002,direct_r_effect_size_extraction,direct_r_effect_size_extraction,eligible_after_locked_llm_output,numeric_effect_size_with_source_type,Study: S002 | Task family: direct_r_effect_size_extraction | Field/construct pair: EE-SI | Human consensus value: source=direct; beta=0.569; sig=NR | Source/evidence note: Value mismatch; Beta/path mismatch; Value / significance mismatch; loc: Table 9,Study: S002 | Task family: direct_r_effect_size_extraction | Field/construct pair: EE-SI | Expected answer type: numeric_effect_size_with_source_type | Source locator: source_sheet_row=7105 | Source evidence: Value mismatch; Beta/path mismatch; Value / significance mismatch; loc: Table 9 | Notes: R2 override applied from disagreement trace. ready_r_value_direct,,,source_sheet_row=7105; Table 9,Value mismatch; Beta/path mismatch; Value / significance mismatch,0.0,True,insufficient_evidence,not_persisted_batch,locked,2026-06-07T03:19:00Z,gemini_cli_noninteractive_batch,R2 override applied from disagreement trace. ready_r_value_direct
paper2_gemini3flash_full_allfamilies_6500_6749_20260607,google,gemini:gemini-3-flash-preview,0.45.2; model_selector=gemini-3-flash-preview,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-07T03:19:00Z,0,,P2-TASK-07320,S002,absence_or_blank_consensus,absence_or_blank_consensus,eligible_after_locked_llm_output,blank_or_no_reported_value,Study: S002 | Task family: absence_or_blank_consensus | Field/construct pair: EE-TRA | Human consensus value:  | Source/evidence note: blank_or_no_reported_statistic_consensus,Study: S002 | Task family: absence_or_blank_consensus | Field/construct pair: EE-TRA | Expected answer type: blank_or_no_reported_value | Source locator: source_sheet_row=7106 | Source evidence:  | Notes: blank_or_no_reported_statistic_consensus,Not reported,,source_sheet_row=7106,blank_or_no_reported_statistic_consensus,1.0,False,,not_persisted_batch,locked,2026-06-07T03:19:00Z,gemini_cli_noninteractive_batch,blank_or_no_reported_statistic_consensus
paper2_gemini3flash_full_allfamilies_6500_6749_20260607,google,gemini:gemini-3-flash-preview,0.45.2; model_selector=gemini-3-flash-preview,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-07T03:19:00Z,0,,P2-TASK-07321,S002,absence_or_blank_consensus,absence_or_blank_consensus,eligible_after_locked_llm_output,blank_or_no_reported_value,Study: S002 | Task family: absence_or_blank_consensus | Field/construct pair: EE-TRU | Human consensus value:  | Source/evidence note: blank_or_no_reported_statistic_consensus,Study: S002 | Task family: absence_or_blank_consensus | Field/construct pair: EE-TRU | Expected answer type: blank_or_no_reported_value | Source locator: source_sheet_row=7107 | Source evidence:  | Notes: blank_or_no_reported_statistic_consensus,Not reported,,source_sheet_row=7107,blank_or_no_reported_statistic_consensus,1.0,False,,not_persisted_batch,locked,2026-06-07T03:19:00Z,gemini_cli_noninteractive_batch,blank_or_no_reported_statistic_consensus
paper2_gemini3flash_full_allfamilies_6500_6749_20260607,google,gemini:gemini-3-flash-preview,0.45.2; model_selector=gemini-3-flash-preview,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-07T03:19:00Z,0,,P2-TASK-07322,S002,direct_r_effect_size_extraction,direct_r_effect_size_extraction,eligible_after_locked_llm_output,numeric_effect_size_with_source_type,Study: S002 | Task family: direct_r_effect_size_extraction | Field/construct pair: EE-UB | Human consensus value: source=direct; beta=0.523; sig=NR | Source/evidence note: Value mismatch; Beta/path mismatch; Value / significance mismatch; loc: Table 9,Study: S002 | Task family: direct_r_effect_size_extraction | Field/construct pair: EE-UB | Expected answer type: numeric_effect_size_with_source_type | Source locator: source_sheet_row=7108 | Source evidence: Value mismatch; Beta/path mismatch; Value / significance mismatch; loc: Table 9 | Notes: R2 override applied from disagreement trace. ready_r_value_direct,,,source_sheet_row=7108; Table 9,Value mismatch; Beta/path mismatch; Value / significance mismatch,0.0,True,insufficient_evidence,not_persisted_batch,locked,2026-06-07T03:19:00Z,gemini_cli_noninteractive_batch,R2 override applied from disagreement trace. ready_r_value_direct
paper2_gemini3flash_full_allfamilies_6500_6749_20260607,google,gemini:gemini-3-flash-preview,0.45.2; model_selector=gemini-3-flash-preview,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-07T03:19:00Z,0,,P2-TASK-07323,S002,direct_r_effect_size_extraction,direct_r_effect_size_extraction,eligible_after_locked_llm_output,numeric_effect_size_with_source_type,Study: S002 | Task family: direct_r_effect_size_extraction | Field/construct pair: FC-PE | Human consensus value: source=direct; beta=0.694; sig=NR | Source/evidence note: Value mismatch; Beta/path mismatch; Value / significance mismatch; loc: Table 9,Study: S002 | Task family: direct_r_effect_size_extraction | Field/construct pair: FC-PE | Expected answer type: numeric_effect_size_with_source_type | Source locator: source_sheet_row=7109 | Source evidence: Value mismatch; Beta/path mismatch; Value / significance mismatch; loc: Table 9 | Notes: R2 override applied from disagreement trace. ready_r_value_direct,,,source_sheet_row=7109; Table 9,Value mismatch; Beta/path mismatch; Value / significance mismatch,0.0,True,insufficient_evidence,not_persisted_batch,locked,2026-06-07T03:19:00Z,gemini_cli_noninteractive_batch,R2 override applied from disagreement trace. ready_r_value_direct
paper2_gemini3flash_full_allfamilies_6500_6749_20260607,google,gemini:gemini-3-flash-preview,0.45.2; model_selector=gemini-3-flash-preview,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-07T03:19:00Z,0,,P2-TASK-07324,S002,absence_or_blank_consensus,absence_or_blank_consensus,eligible_after_locked_llm_output,blank_or_no_reported_value,Study: S002 | Task family: absence_or_blank_consensus | Field/construct pair: FC-SE | Human consensus value:  | Source/evidence note: blank_or_no_reported_statistic_consensus,Study: S002 | Task family: absence_or_blank_consensus | Field/construct pair: FC-SE | Expected answer type: blank_or_no_reported_value | Source locator: source_sheet_row=7110 | Source evidence:  | Notes: blank_or_no_reported_statistic_consensus,Not reported,,source_sheet_row=7110,blank_or_no_reported_statistic_consensus,1.0,False,,not_persisted_batch,locked,2026-06-07T03:19:00Z,gemini_cli_noninteractive_batch,blank_or_no_reported_statistic_consensus
paper2_gemini3flash_full_allfamilies_6500_6749_20260607,google,gemini:gemini-3-flash-preview,0.45.2; model_selector=gemini-3-flash-preview,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-07T03:19:00Z,0,,P2-TASK-07325,S002,direct_r_effect_size_extraction,direct_r_effect_size_extraction,eligible_after_locked_llm_output,numeric_effect_size_with_source_type,Study: S002 | Task family: direct_r_effect_size_extraction | Field/construct pair: FC-SI | Human consensus value: source=direct; beta=0.724; sig=NR | Source/evidence note: Value mismatch; Beta/path mismatch; Value / significance mismatch; loc: Table 9,Study: S002 | Task family: direct_r_effect_size_extraction | Field/construct pair: FC-SI | Expected answer type: numeric_effect_size_with_source_type | Source locator: source_sheet_row=7111 | Source evidence: Value mismatch; Beta/path mismatch; Value / significance mismatch; loc: Table 9 | Notes: R2 override applied from disagreement trace. ready_r_value_direct,,,source_sheet_row=7111; Table 9,Value mismatch; Beta/path mismatch; Value / significance mismatch,0.0,True,insufficient_evidence,not_persisted_batch,locked,2026-06-07T03:19:00Z,gemini_cli_noninteractive_batch,R2 override applied from disagreement trace. ready_r_value_direct
paper2_gemini3flash_full_allfamilies_6500_6749_20260607,google,gemini:gemini-3-flash-preview,0.45.2; model_selector=gemini-3-flash-preview,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-07T03:19:00Z,0,,P2-TASK-07326,S002,absence_or_blank_consensus,absence_or_blank_consensus,eligible_after_locked_llm_output,blank_or_no_reported_value,Study: S002 | Task family: absence_or_blank_consensus | Field/construct pair: FC-TRA | Human consensus value:  | Source/evidence note: blank_or_no_reported_statistic_consensus,Study: S002 | Task family: absence_or_blank_consensus | Field/construct pair: FC-TRA | Expected answer type: blank_or_no_reported_value | Source locator: source_sheet_row=7112 | Source evidence:  | Notes: blank_or_no_reported_statistic_consensus,Not reported,,source_sheet_row=7112,blank_or_no_reported_statistic_consensus,1.0,False,,not_persisted_batch,locked,2026-06-07T03:19:00Z,gemini_cli_noninteractive_batch,blank_or_no_reported_statistic_consensus
