study_id,reference_record_id,phase_block,pair,sample_or_stratum,n,construct_1,construct_2,r_value,r_source,original_beta,source_location,evidence_type,mapping_confidence,decision_status,step3_decision_source,notes
S015,S015_poland_stratum_BI_EE,phase1,Pair A,poland_stratum,528,BI,EE,0.579,source_reported_latent_correlation,,S015.pdf Table 1 (R2 Table 1/Table2 country-stratum split),country_stratified_source_reported_latent_correlation,high,included_reference_draft_manual_blocker_resolved_20260608,researcher_manual_decision_20260608; combined_coder_values_long_20260525.csv; local source PDF text check 20260608,"Researcher decision 2026-06-08: use R2 row set; slash-coded Poland/India values are split into country-stratum numeric rows, preserving R2 selected values."
S015,S015_india_stratum_BI_EE,phase1,Pair A,india_stratum,546,BI,EE,0.389,source_reported_latent_correlation,,S015.pdf Table 2 (R2 Table 1/Table2 country-stratum split),country_stratified_source_reported_latent_correlation,high,included_reference_draft_manual_blocker_resolved_20260608,researcher_manual_decision_20260608; combined_coder_values_long_20260525.csv; local source PDF text check 20260608,"Researcher decision 2026-06-08: use R2 row set; slash-coded Poland/India values are split into country-stratum numeric rows, preserving R2 selected values."
S015,S015_poland_stratum_BI_FC,phase1,Pair A,poland_stratum,528,BI,FC,0.6863,source_reported_latent_correlation,,S015.pdf Table 1 (R2 Table 1/Table2 country-stratum split),country_stratified_source_reported_latent_correlation,high,included_reference_draft_manual_blocker_resolved_20260608,researcher_manual_decision_20260608; combined_coder_values_long_20260525.csv; local source PDF text check 20260608,"Researcher decision 2026-06-08: use R2 row set; slash-coded Poland/India values are split into country-stratum numeric rows, preserving R2 selected values."
S015,S015_india_stratum_BI_FC,phase1,Pair A,india_stratum,546,BI,FC,0.569,source_reported_latent_correlation,,S015.pdf Table 2 (R2 Table 1/Table2 country-stratum split),country_stratified_source_reported_latent_correlation,high,included_reference_draft_manual_blocker_resolved_20260608,researcher_manual_decision_20260608; combined_coder_values_long_20260525.csv; local source PDF text check 20260608,"Researcher decision 2026-06-08: use R2 row set; slash-coded Poland/India values are split into country-stratum numeric rows, preserving R2 selected values."
S015,S015_poland_stratum_BI_PE,phase1,Pair A,poland_stratum,528,BI,PE,0.818,source_reported_latent_correlation,,S015.pdf Table 1 (R2 Table 1/Table2 country-stratum split),country_stratified_source_reported_latent_correlation,high,included_reference_draft_manual_blocker_resolved_20260608,researcher_manual_decision_20260608; combined_coder_values_long_20260525.csv; local source PDF text check 20260608,"Researcher decision 2026-06-08: use R2 row set; slash-coded Poland/India values are split into country-stratum numeric rows, preserving R2 selected values."
S015,S015_india_stratum_BI_PE,phase1,Pair A,india_stratum,546,BI,PE,0.528,source_reported_latent_correlation,,S015.pdf Table 2 (R2 Table 1/Table2 country-stratum split),country_stratified_source_reported_latent_correlation,high,included_reference_draft_manual_blocker_resolved_20260608,researcher_manual_decision_20260608; combined_coder_values_long_20260525.csv; local source PDF text check 20260608,"Researcher decision 2026-06-08: use R2 row set; slash-coded Poland/India values are split into country-stratum numeric rows, preserving R2 selected values."
S015,S015_poland_stratum_BI_SI,phase1,Pair A,poland_stratum,528,BI,SI,0.599,source_reported_latent_correlation,,S015.pdf Table 1 (R2 Table 1/Table2 country-stratum split),country_stratified_source_reported_latent_correlation,high,included_reference_draft_manual_blocker_resolved_20260608,researcher_manual_decision_20260608; combined_coder_values_long_20260525.csv; local source PDF text check 20260608,"Researcher decision 2026-06-08: use R2 row set; slash-coded Poland/India values are split into country-stratum numeric rows, preserving R2 selected values."
S015,S015_india_stratum_BI_SI,phase1,Pair A,india_stratum,546,BI,SI,0.515,source_reported_latent_correlation,,S015.pdf Table 2 (R2 Table 1/Table2 country-stratum split),country_stratified_source_reported_latent_correlation,high,included_reference_draft_manual_blocker_resolved_20260608,researcher_manual_decision_20260608; combined_coder_values_long_20260525.csv; local source PDF text check 20260608,"Researcher decision 2026-06-08: use R2 row set; slash-coded Poland/India values are split into country-stratum numeric rows, preserving R2 selected values."
S015,S015_poland_stratum_BI_UB,phase1,Pair A,poland_stratum,528,BI,UB,0.79,source_reported_latent_correlation,,S015.pdf Table 1 (R2 Table 1/Table2 country-stratum split),country_stratified_source_reported_latent_correlation,high,included_reference_draft_manual_blocker_resolved_20260608,researcher_manual_decision_20260608; combined_coder_values_long_20260525.csv; local source PDF text check 20260608,"Researcher decision 2026-06-08: use R2 row set; slash-coded Poland/India values are split into country-stratum numeric rows, preserving R2 selected values."
S015,S015_india_stratum_BI_UB,phase1,Pair A,india_stratum,546,BI,UB,0.587,source_reported_latent_correlation,,S015.pdf Table 2 (R2 Table 1/Table2 country-stratum split),country_stratified_source_reported_latent_correlation,high,included_reference_draft_manual_blocker_resolved_20260608,researcher_manual_decision_20260608; combined_coder_values_long_20260525.csv; local source PDF text check 20260608,"Researcher decision 2026-06-08: use R2 row set; slash-coded Poland/India values are split into country-stratum numeric rows, preserving R2 selected values."
