run_id,model_provider,model_id,model_version,procedure_id,prompt_version,run_timestamp_utc,temperature,seed,task_unit_id,study_id,llm_task_family,denominator_family,scoring_eligibility,expected_answer_type,evaluation_unit_text,model_input_text,model_answer,model_answer_normalized,model_source_locator,model_source_quote,model_confidence,abstained,error_code,raw_output_ref,locked_answer_status,lock_timestamp_utc,locked_by,notes
paper2_codex_gpt55_full_allfamilies_6750_6849_20260606,openai,codex:gpt-5.5,codex-cli 0.137.0; model_selector=gpt-5.5,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-06T14:04:15Z,0,,P2-TASK-07574,S207,absence_or_blank_consensus,absence_or_blank_consensus,eligible_after_locked_llm_output,blank_or_no_reported_value,Study: S207 | Task family: absence_or_blank_consensus | Field/construct pair: BI-PE | Human consensus value: beta=520.0; sig=NR | Source/evidence note: Value mismatch; Source-type mismatch; Beta/path mismatch; Value / significance mismatch; loc: Table 3,Study: S207 | Task family: absence_or_blank_consensus | Field/construct pair: BI-PE | Expected answer type: blank_or_no_reported_value | Source locator: source_sheet_row=7360 | Source evidence: Value mismatch; Source-type mismatch; Beta/path mismatch; Value / significance mismatch; loc: Table 3 | Notes: R2 override applied from disagreement trace. ready_r_value_direct,,,source_sheet_row=7360; Table 3,Value mismatch; Source-type mismatch; Beta/path mismatch; Value / significance mismatch; loc: Table 3,0.2,True,insufficient_evidence,not_persisted_batch,locked,2026-06-06T14:04:15Z,codex_cli_noninteractive_batch,"Expected blank/no reported value, but provided evidence indicates mismatches and no extractable blank consensus."
paper2_codex_gpt55_full_allfamilies_6750_6849_20260606,openai,codex:gpt-5.5,codex-cli 0.137.0; model_selector=gpt-5.5,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-06T14:04:15Z,0,,P2-TASK-07575,S207,absence_or_blank_consensus,absence_or_blank_consensus,eligible_after_locked_llm_output,blank_or_no_reported_value,Study: S207 | Task family: absence_or_blank_consensus | Field/construct pair: BI-SE | Human consensus value:  | Source/evidence note: blank_or_no_reported_statistic_consensus,Study: S207 | Task family: absence_or_blank_consensus | Field/construct pair: BI-SE | Expected answer type: blank_or_no_reported_value | Source locator: source_sheet_row=7361 | Source evidence:  | Notes: blank_or_no_reported_statistic_consensus,blank_or_no_reported_value,,source_sheet_row=7361,blank_or_no_reported_statistic_consensus,0.9,False,,not_persisted_batch,locked,2026-06-06T14:04:15Z,codex_cli_noninteractive_batch,Consensus note indicates blank or no reported statistic.
paper2_codex_gpt55_full_allfamilies_6750_6849_20260606,openai,codex:gpt-5.5,codex-cli 0.137.0; model_selector=gpt-5.5,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-06T14:04:15Z,0,,P2-TASK-07576,S207,absence_or_blank_consensus,absence_or_blank_consensus,eligible_after_locked_llm_output,blank_or_no_reported_value,Study: S207 | Task family: absence_or_blank_consensus | Field/construct pair: BI-SI | Human consensus value:  | Source/evidence note: blank_or_no_reported_statistic_consensus,Study: S207 | Task family: absence_or_blank_consensus | Field/construct pair: BI-SI | Expected answer type: blank_or_no_reported_value | Source locator: source_sheet_row=7362 | Source evidence:  | Notes: blank_or_no_reported_statistic_consensus,blank_or_no_reported_value,,source_sheet_row=7362,blank_or_no_reported_statistic_consensus,0.9,False,,not_persisted_batch,locked,2026-06-06T14:04:15Z,codex_cli_noninteractive_batch,Consensus note indicates blank or no reported statistic.
paper2_codex_gpt55_full_allfamilies_6750_6849_20260606,openai,codex:gpt-5.5,codex-cli 0.137.0; model_selector=gpt-5.5,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-06T14:04:15Z,0,,P2-TASK-07577,S207,absence_or_blank_consensus,absence_or_blank_consensus,eligible_after_locked_llm_output,blank_or_no_reported_value,Study: S207 | Task family: absence_or_blank_consensus | Field/construct pair: BI-TRA | Human consensus value:  | Source/evidence note: blank_or_no_reported_statistic_consensus,Study: S207 | Task family: absence_or_blank_consensus | Field/construct pair: BI-TRA | Expected answer type: blank_or_no_reported_value | Source locator: source_sheet_row=7363 | Source evidence:  | Notes: blank_or_no_reported_statistic_consensus,blank_or_no_reported_value,,source_sheet_row=7363,blank_or_no_reported_statistic_consensus,0.9,False,,not_persisted_batch,locked,2026-06-06T14:04:15Z,codex_cli_noninteractive_batch,Consensus note indicates blank or no reported statistic.
paper2_codex_gpt55_full_allfamilies_6750_6849_20260606,openai,codex:gpt-5.5,codex-cli 0.137.0; model_selector=gpt-5.5,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-06T14:04:15Z,0,,P2-TASK-07578,S207,absence_or_blank_consensus,absence_or_blank_consensus,eligible_after_locked_llm_output,blank_or_no_reported_value,Study: S207 | Task family: absence_or_blank_consensus | Field/construct pair: BI-TRU | Human consensus value:  | Source/evidence note: blank_or_no_reported_statistic_consensus,Study: S207 | Task family: absence_or_blank_consensus | Field/construct pair: BI-TRU | Expected answer type: blank_or_no_reported_value | Source locator: source_sheet_row=7364 | Source evidence:  | Notes: blank_or_no_reported_statistic_consensus,blank_or_no_reported_value,,source_sheet_row=7364,blank_or_no_reported_statistic_consensus,0.9,False,,not_persisted_batch,locked,2026-06-06T14:04:15Z,codex_cli_noninteractive_batch,Consensus note indicates blank or no reported statistic.
paper2_codex_gpt55_full_allfamilies_6750_6849_20260606,openai,codex:gpt-5.5,codex-cli 0.137.0; model_selector=gpt-5.5,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-06T14:04:15Z,0,,P2-TASK-07579,S207,absence_or_blank_consensus,absence_or_blank_consensus,eligible_after_locked_llm_output,blank_or_no_reported_value,Study: S207 | Task family: absence_or_blank_consensus | Field/construct pair: BI-UB | Human consensus value:  | Source/evidence note: blank_or_no_reported_statistic_consensus,Study: S207 | Task family: absence_or_blank_consensus | Field/construct pair: BI-UB | Expected answer type: blank_or_no_reported_value | Source locator: source_sheet_row=7365 | Source evidence:  | Notes: blank_or_no_reported_statistic_consensus,blank_or_no_reported_value,,source_sheet_row=7365,blank_or_no_reported_statistic_consensus,0.9,False,,not_persisted_batch,locked,2026-06-06T14:04:15Z,codex_cli_noninteractive_batch,Consensus note indicates blank or no reported statistic.
paper2_codex_gpt55_full_allfamilies_6750_6849_20260606,openai,codex:gpt-5.5,codex-cli 0.137.0; model_selector=gpt-5.5,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-06T14:04:15Z,0,,P2-TASK-07580,S207,absence_or_blank_consensus,absence_or_blank_consensus,eligible_after_locked_llm_output,blank_or_no_reported_value,Study: S207 | Task family: absence_or_blank_consensus | Field/construct pair: EE-FC | Human consensus value:  | Source/evidence note: blank_or_no_reported_statistic_consensus,Study: S207 | Task family: absence_or_blank_consensus | Field/construct pair: EE-FC | Expected answer type: blank_or_no_reported_value | Source locator: source_sheet_row=7366 | Source evidence:  | Notes: blank_or_no_reported_statistic_consensus,blank_or_no_reported_value,,source_sheet_row=7366,blank_or_no_reported_statistic_consensus,0.9,False,,not_persisted_batch,locked,2026-06-06T14:04:15Z,codex_cli_noninteractive_batch,Consensus note indicates blank or no reported statistic.
paper2_codex_gpt55_full_allfamilies_6750_6849_20260606,openai,codex:gpt-5.5,codex-cli 0.137.0; model_selector=gpt-5.5,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-06T14:04:15Z,0,,P2-TASK-07581,S207,converted_or_model_derived_effect_size,converted_or_model_derived_effect_size,eligible_after_locked_llm_output_with_source_type_denominator,numeric_effect_size_with_source_type,Study: S207 | Task family: converted_or_model_derived_effect_size | Field/construct pair: EE-PE | Human consensus value: beta=0.545; sig=NR | Source/evidence note: Value mismatch; Source-type mismatch; Beta/path mismatch; Value / significance mismatch; loc: Table 3,Study: S207 | Task family: converted_or_model_derived_effect_size | Field/construct pair: EE-PE | Expected answer type: numeric_effect_size_with_source_type | Source locator: source_sheet_row=7367 | Source evidence: Value mismatch; Source-type mismatch; Beta/path mismatch; Value / significance mismatch; loc: Table 3 | Notes: R2 override applied from disagreement trace. ready_r_value_direct,,,source_sheet_row=7367; Table 3,Value mismatch; Source-type mismatch; Beta/path mismatch; Value / significance mismatch; loc: Table 3,0.1,True,insufficient_evidence,not_persisted_batch,locked,2026-06-06T14:04:15Z,codex_cli_noninteractive_batch,"Numeric effect size requested, but no numeric value is provided in the redacted input."
paper2_codex_gpt55_full_allfamilies_6750_6849_20260606,openai,codex:gpt-5.5,codex-cli 0.137.0; model_selector=gpt-5.5,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-06T14:04:15Z,0,,P2-TASK-07582,S207,absence_or_blank_consensus,absence_or_blank_consensus,eligible_after_locked_llm_output,blank_or_no_reported_value,Study: S207 | Task family: absence_or_blank_consensus | Field/construct pair: EE-SE | Human consensus value:  | Source/evidence note: blank_or_no_reported_statistic_consensus,Study: S207 | Task family: absence_or_blank_consensus | Field/construct pair: EE-SE | Expected answer type: blank_or_no_reported_value | Source locator: source_sheet_row=7368 | Source evidence:  | Notes: blank_or_no_reported_statistic_consensus,blank_or_no_reported_value,,source_sheet_row=7368,blank_or_no_reported_statistic_consensus,0.9,False,,not_persisted_batch,locked,2026-06-06T14:04:15Z,codex_cli_noninteractive_batch,Consensus note indicates blank or no reported statistic.
paper2_codex_gpt55_full_allfamilies_6750_6849_20260606,openai,codex:gpt-5.5,codex-cli 0.137.0; model_selector=gpt-5.5,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-06T14:04:15Z,0,,P2-TASK-07583,S207,absence_or_blank_consensus,absence_or_blank_consensus,eligible_after_locked_llm_output,blank_or_no_reported_value,Study: S207 | Task family: absence_or_blank_consensus | Field/construct pair: EE-SI | Human consensus value:  | Source/evidence note: blank_or_no_reported_statistic_consensus,Study: S207 | Task family: absence_or_blank_consensus | Field/construct pair: EE-SI | Expected answer type: blank_or_no_reported_value | Source locator: source_sheet_row=7369 | Source evidence:  | Notes: blank_or_no_reported_statistic_consensus,blank_or_no_reported_value,,source_sheet_row=7369,blank_or_no_reported_statistic_consensus,0.9,False,,not_persisted_batch,locked,2026-06-06T14:04:15Z,codex_cli_noninteractive_batch,Consensus note indicates blank or no reported statistic.
paper2_codex_gpt55_full_allfamilies_6750_6849_20260606,openai,codex:gpt-5.5,codex-cli 0.137.0; model_selector=gpt-5.5,raw_model_extraction_batch,paper2_task_family_prompt_v1_20260606,2026-06-06T14:04:15Z,0,,P2-TASK-07584,S207,absence_or_blank_consensus,absence_or_blank_consensus,eligible_after_locked_llm_output,blank_or_no_reported_value,Study: S207 | Task family: absence_or_blank_consensus | Field/construct pair: EE-TRA | Human consensus value:  | Source/evidence note: blank_or_no_reported_statistic_consensus,Study: S207 | Task family: absence_or_blank_consensus | Field/construct pair: EE-TRA | Expected answer type: blank_or_no_reported_value | Source locator: source_sheet_row=7370 | Source evidence:  | Notes: blank_or_no_reported_statistic_consensus,,,source_sheet_row=7370,,high,False,,not_persisted_batch,locked,2026-06-06T14:04:15Z,codex_cli_noninteractive_batch,blank_or_no_reported_statistic_consensus
