pair,study_id,construct_1,construct_2,coder_a,coder_a_value,coder_a_source,coder_a_notes,coder_b,coder_b_value,coder_b_source,coder_b_notes,abs_difference,mismatch_type
Pair C,S014,PE,UB,R1,0.31,beta_converted,Indirect effect through perceived risk; dependent adoption mapped to UB.,R4,,,,,one_coder_only
Pair C,S014,SI,UB,R1,0.3,beta_converted,Indirect effect through perceived risk; dependent adoption mapped to UB.,R4,,,,,one_coder_only
Pair C,S034,EE,PE,R1,,,,R4,0.68,direct,Fig 2 correlation heatmap (zero-order Pearson correlation between constructs).,,one_coder_only
Pair C,S058,ATT,BI,R1,0.86,beta_converted,No usable correlation matrix; standardized SEM path converted.,R4,0.81,Table 4: Path coefficient,,0.04999999999999993,numeric_or_source_diff
Pair C,S058,ATT,EE,R1,0.42,beta_converted,No usable correlation matrix; standardized SEM path converted.,R4,0.369,Table 4: Path coefficient,,0.05099999999999999,numeric_or_source_diff
Pair C,S058,ATT,PE,R1,0.53,beta_converted,No usable correlation matrix; standardized SEM path converted.,R4,0.484,Table 4: Path coefficient,,0.04600000000000004,numeric_or_source_diff
Pair C,S058,BI,EE,R1,0.19,beta_converted,No usable correlation matrix; standardized SEM path converted.,R4,0.142,Table 4: Path coefficient,,0.048000000000000015,numeric_or_source_diff
Pair C,S058,BI,PE,R1,0.46,beta_converted,No usable correlation matrix; standardized SEM path converted.,R4,0.406,Table 4: Path coefficient,,0.05399999999999999,numeric_or_source_diff
Pair C,S058,EE,PE,R1,0.86,beta_converted,No usable correlation matrix; standardized SEM path converted.,R4,0.806,Table 4: Path coefficient,,0.05399999999999994,numeric_or_source_diff
Pair C,S061,BI,FC,R1,-0.1,beta_converted,,R4,,,,,one_coder_only
Pair C,S063,ATT,BI,R1,0.688,direct,Fornell-Larcker off-diagonal correlation; AH mapped to UB.,R4,0.688,Table 3 (Fornell-Larcker),,0.0,numeric_or_source_diff
Pair C,S063,ATT,EE,R1,0.638,direct,Fornell-Larcker off-diagonal correlation; AH mapped to UB.,R4,0.638,Table 3 (Fornell-Larcker),,0.0,numeric_or_source_diff
Pair C,S063,ATT,PE,R1,0.6,direct,Fornell-Larcker off-diagonal correlation; AH mapped to UB.,R4,0.6,Table 3 (Fornell-Larcker),,0.0,numeric_or_source_diff
Pair C,S063,ATT,UB,R1,0.584,direct,Fornell-Larcker off-diagonal correlation; AH mapped to UB.,R4,0.584,Table 3 (Fornell-Larcker),,0.0,numeric_or_source_diff
Pair C,S063,BI,EE,R1,0.599,direct,Fornell-Larcker off-diagonal correlation; AH mapped to UB.,R4,0.599,Table 3 (Fornell-Larcker),,0.0,numeric_or_source_diff
Pair C,S063,BI,PE,R1,0.544,direct,Fornell-Larcker off-diagonal correlation; AH mapped to UB.,R4,0.544,Table 3 (Fornell-Larcker),,0.0,numeric_or_source_diff
Pair C,S063,BI,UB,R1,0.639,direct,Fornell-Larcker off-diagonal correlation; AH mapped to UB.,R4,0.639,Table 3 (Fornell-Larcker),,0.0,numeric_or_source_diff
Pair C,S063,EE,PE,R1,0.622,direct,Fornell-Larcker off-diagonal correlation; AH mapped to UB.,R4,0.62,Table 3 (Fornell-Larcker),,0.0020000000000000018,numeric_or_source_diff
Pair C,S063,EE,UB,R1,0.47,direct,Fornell-Larcker off-diagonal correlation; AH mapped to UB.,R4,0.47,Table 3 (Fornell-Larcker),,0.0,numeric_or_source_diff
Pair C,S063,PE,UB,R1,0.511,direct,Fornell-Larcker off-diagonal correlation; AH mapped to UB.,R4,0.511,Table 3 (Fornell-Larcker),,0.0,numeric_or_source_diff
Pair C,S066,ANX,BI,R1,0.12,beta_converted,"HTMT not coded; standardized PLS path converted. Table 7 prints beta as 0.700, but Table 8 indirect effect implies 0.070; coded as source-corrected typo and flagged.",R4,0.7,Table 7,,0.58,numeric_or_source_diff
