study_id,reference_record_id,phase_block,pair,sample_or_stratum,n,construct_1,construct_2,r_value,r_source,original_beta,source_location,evidence_type,mapping_confidence,decision_status,step3_decision_source,notes
S156,S156_full_sample_BI_FC,phase1,Pair A,full_sample,305,BI,FC,0.65,source_reported_latent_correlation,,"S156.pdf Table 9 (Fornell-Larcker complete), p.14",fornell_larcker_off_diagonal_latent_correlation,high,included_reference_draft_residual_batch4_phase1_pairA_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch4 phase1 Pair A adjudication 20260608,Use R1 Table 9 Fornell-Larcker complete rows; R2 adds ATT rows and mixed Pakistan/Malaysia note but omits SI mapping used by R1.
S156,S156_full_sample_BI_PE,phase1,Pair A,full_sample,305,BI,PE,0.65,source_reported_latent_correlation,,"S156.pdf Table 9 (Fornell-Larcker complete), p.14",fornell_larcker_off_diagonal_latent_correlation,high,included_reference_draft_residual_batch4_phase1_pairA_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch4 phase1 Pair A adjudication 20260608,Use R1 Table 9 Fornell-Larcker complete rows; R2 adds ATT rows and mixed Pakistan/Malaysia note but omits SI mapping used by R1.
S156,S156_full_sample_BI_SI,phase1,Pair A,full_sample,305,BI,SI,0.7,source_reported_latent_correlation,,"S156.pdf Table 9 (Fornell-Larcker complete), p.14",fornell_larcker_off_diagonal_latent_correlation,high,included_reference_draft_residual_batch4_phase1_pairA_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch4 phase1 Pair A adjudication 20260608,Use R1 Table 9 Fornell-Larcker complete rows; R2 adds ATT rows and mixed Pakistan/Malaysia note but omits SI mapping used by R1.
S156,S156_full_sample_BI_UB,phase1,Pair A,full_sample,305,BI,UB,0.71,source_reported_latent_correlation,,"S156.pdf Table 9 (Fornell-Larcker complete), p.14",fornell_larcker_off_diagonal_latent_correlation,high,included_reference_draft_residual_batch4_phase1_pairA_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch4 phase1 Pair A adjudication 20260608,Use R1 Table 9 Fornell-Larcker complete rows; R2 adds ATT rows and mixed Pakistan/Malaysia note but omits SI mapping used by R1.
S156,S156_full_sample_FC_PE,phase1,Pair A,full_sample,305,FC,PE,0.59,source_reported_latent_correlation,,"S156.pdf Table 9 (Fornell-Larcker complete), p.14",fornell_larcker_off_diagonal_latent_correlation,high,included_reference_draft_residual_batch4_phase1_pairA_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch4 phase1 Pair A adjudication 20260608,Use R1 Table 9 Fornell-Larcker complete rows; R2 adds ATT rows and mixed Pakistan/Malaysia note but omits SI mapping used by R1.
S156,S156_full_sample_FC_SI,phase1,Pair A,full_sample,305,FC,SI,0.65,source_reported_latent_correlation,,"S156.pdf Table 9 (Fornell-Larcker complete), p.14",fornell_larcker_off_diagonal_latent_correlation,high,included_reference_draft_residual_batch4_phase1_pairA_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch4 phase1 Pair A adjudication 20260608,Use R1 Table 9 Fornell-Larcker complete rows; R2 adds ATT rows and mixed Pakistan/Malaysia note but omits SI mapping used by R1.
S156,S156_full_sample_FC_UB,phase1,Pair A,full_sample,305,FC,UB,0.64,source_reported_latent_correlation,,"S156.pdf Table 9 (Fornell-Larcker complete), p.14",fornell_larcker_off_diagonal_latent_correlation,high,included_reference_draft_residual_batch4_phase1_pairA_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch4 phase1 Pair A adjudication 20260608,Use R1 Table 9 Fornell-Larcker complete rows; R2 adds ATT rows and mixed Pakistan/Malaysia note but omits SI mapping used by R1.
S156,S156_full_sample_PE_SI,phase1,Pair A,full_sample,305,PE,SI,0.65,source_reported_latent_correlation,,"S156.pdf Table 9 (Fornell-Larcker complete), p.14",fornell_larcker_off_diagonal_latent_correlation,high,included_reference_draft_residual_batch4_phase1_pairA_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch4 phase1 Pair A adjudication 20260608,Use R1 Table 9 Fornell-Larcker complete rows; R2 adds ATT rows and mixed Pakistan/Malaysia note but omits SI mapping used by R1.
S156,S156_full_sample_PE_UB,phase1,Pair A,full_sample,305,PE,UB,0.57,source_reported_latent_correlation,,"S156.pdf Table 9 (Fornell-Larcker complete), p.14",fornell_larcker_off_diagonal_latent_correlation,high,included_reference_draft_residual_batch4_phase1_pairA_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch4 phase1 Pair A adjudication 20260608,Use R1 Table 9 Fornell-Larcker complete rows; R2 adds ATT rows and mixed Pakistan/Malaysia note but omits SI mapping used by R1.
S156,S156_full_sample_SI_UB,phase1,Pair A,full_sample,305,SI,UB,0.72,source_reported_latent_correlation,,"S156.pdf Table 9 (Fornell-Larcker complete), p.14",fornell_larcker_off_diagonal_latent_correlation,high,included_reference_draft_residual_batch4_phase1_pairA_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch4 phase1 Pair A adjudication 20260608,Use R1 Table 9 Fornell-Larcker complete rows; R2 adds ATT rows and mixed Pakistan/Malaysia note but omits SI mapping used by R1.
