study_id,phase_block,pair,n,source_pdf_status,source_location_checked,row_draft_status,n_reference_draft_rows,primary_coder_source,evidence_type,mapping_confidence_summary,construct_mapping_decision,excluded_constructs_or_rows,remaining_caveat,next_action,evidence_basis
S163,phase1,Pair B,300,exact_local_pdf_available_text_extraction_checked_not_committed,selected coder source locations and exact local PDF availability; final visual audit retained where row source-location strings are blank,reference_draft_created_from_R4_table6_direct_rows,15,R4,15 source_reported_direct_correlation_or_latent_correlation,15 high,Use R4 Table 6 direct rows; R3 direct row set differs numerically and omits SE rows.,Non-selected coder row set(s) not drafted: R3,Routine final full-corpus freeze audit; retained rows are source-coder traceable.,Carry batch4 phase1 Pair B source-checked row draft into full-corpus freeze audit after remaining batch4 sub-batches are complete; do not start Step 5.,full_corpus_residual_batch4_phase1_pairB_reference_draft_20260608.csv; combined_coder_values_long_20260525.csv; full_corpus_residual_batch45_execution_manifest_20260608.csv; exact local PDF availability/text extraction check 20260608
S186,phase1,Pair B,657,exact_local_pdf_available_text_extraction_checked_not_committed,selected coder source locations and exact local PDF availability; final visual audit retained where row source-location strings are blank,reference_draft_created_from_R4_table2_direct_precision_rows,15,R4,15 source_reported_direct_correlation_or_latent_correlation,15 high,Use R4 Table 2 precision direct rows; R3 rounded subset omits SE rows.,Non-selected coder row set(s) not drafted: R3,Routine final full-corpus freeze audit; retained rows are source-coder traceable.,Carry batch4 phase1 Pair B source-checked row draft into full-corpus freeze audit after remaining batch4 sub-batches are complete; do not start Step 5.,full_corpus_residual_batch4_phase1_pairB_reference_draft_20260608.csv; combined_coder_values_long_20260525.csv; full_corpus_residual_batch45_execution_manifest_20260608.csv; exact local PDF availability/text extraction check 20260608
S007,phase1,Pair B,363,exact_local_pdf_available_text_extraction_checked_not_committed,selected coder source locations and exact local PDF availability; final visual audit retained where row source-location strings are blank,reference_draft_created_from_R3_direct_rows_rejecting_R4_beta_paths,10,R3,10 source_reported_direct_correlation_or_latent_correlation,10 medium,Use R3 direct correlation rows; reject R4 beta/path substitutions for overlapping BI rows.,Non-selected coder row set(s) not drafted: R4,Routine final full-corpus freeze audit; retained rows are source-coder traceable.,Carry batch4 phase1 Pair B source-checked row draft into full-corpus freeze audit after remaining batch4 sub-batches are complete; do not start Step 5.,full_corpus_residual_batch4_phase1_pairB_reference_draft_20260608.csv; combined_coder_values_long_20260525.csv; full_corpus_residual_batch45_execution_manifest_20260608.csv; exact local PDF availability/text extraction check 20260608
S125,phase1,Pair B,498,exact_local_pdf_available_text_extraction_checked_not_committed,selected coder source locations and exact local PDF availability; final visual audit retained where row source-location strings are blank,reference_draft_created_from_R4_complete_table6_rows,15,R4,15 source_reported_direct_correlation_or_latent_correlation,15 high,Use R4 complete Table 6 Fornell-Larcker row set; R3 subset duplicates selected rows and omits BI/FC rows.,Non-selected coder row set(s) not drafted: R3,Routine final full-corpus freeze audit; retained rows are source-coder traceable.,Carry batch4 phase1 Pair B source-checked row draft into full-corpus freeze audit after remaining batch4 sub-batches are complete; do not start Step 5.,full_corpus_residual_batch4_phase1_pairB_reference_draft_20260608.csv; combined_coder_values_long_20260525.csv; full_corpus_residual_batch45_execution_manifest_20260608.csv; exact local PDF availability/text extraction check 20260608
S055,phase1,Pair B,486,exact_local_pdf_available_text_extraction_checked_not_committed,selected coder source locations and exact local PDF availability; final visual audit retained where row source-location strings are blank,reference_draft_created_from_R3_complete_direct_rows_with_final_visual_caveat,21,R3,21 source_reported_direct_correlation_or_latent_correlation,21 medium,Use R3 complete direct row set; R4 subset omits ATT and UB rows. Final visual audit should confirm source table labels because selected rows lack source-location strings.,Non-selected coder row set(s) not drafted: R4,selected rows are source-coder direct values but final visual table-label audit remains required,Carry batch4 phase1 Pair B source-checked row draft into full-corpus freeze audit after remaining batch4 sub-batches are complete; do not start Step 5.,full_corpus_residual_batch4_phase1_pairB_reference_draft_20260608.csv; combined_coder_values_long_20260525.csv; full_corpus_residual_batch45_execution_manifest_20260608.csv; exact local PDF availability/text extraction check 20260608
S212,phase1,Pair B,465,exact_local_pdf_available_text_extraction_checked_not_committed,selected coder source locations and exact local PDF availability; final visual audit retained where row source-location strings are blank,reference_draft_created_from_R4_table3_precision_rows,8,R4,8 source_reported_direct_correlation_or_latent_correlation,8 high,Use R4 Table 3 precision rows; R3 subset is rounded and omits UB rows.,Non-selected coder row set(s) not drafted: R3,Routine final full-corpus freeze audit; retained rows are source-coder traceable.,Carry batch4 phase1 Pair B source-checked row draft into full-corpus freeze audit after remaining batch4 sub-batches are complete; do not start Step 5.,full_corpus_residual_batch4_phase1_pairB_reference_draft_20260608.csv; combined_coder_values_long_20260525.csv; full_corpus_residual_batch45_execution_manifest_20260608.csv; exact local PDF availability/text extraction check 20260608
S017,phase1,Pair B,249,exact_local_pdf_available_text_extraction_checked_not_committed,selected coder source locations and exact local PDF availability; final visual audit retained where row source-location strings are blank,reference_draft_created_from_R3_numeric_direct_rows_excluding_invalid_anx_string,6,R3,6 source_reported_direct_correlation_or_latent_correlation,6 medium,Use R3 numeric direct rows; exclude nonnumeric ANX-BI string value `three ANX` from this draft.,1 nonnumeric selected-coder row(s) excluded,nonnumeric ANX-BI coder row excluded from row draft,Carry batch4 phase1 Pair B source-checked row draft into full-corpus freeze audit after remaining batch4 sub-batches are complete; do not start Step 5.,full_corpus_residual_batch4_phase1_pairB_reference_draft_20260608.csv; combined_coder_values_long_20260525.csv; full_corpus_residual_batch45_execution_manifest_20260608.csv; exact local PDF availability/text extraction check 20260608
S073,phase1,Pair B,405,exact_local_pdf_available_text_extraction_checked_not_committed,selected coder source locations and exact local PDF availability; final visual audit retained where row source-location strings are blank,reference_draft_created_from_R3_beta_converted_rows,7,R3,7 standardized_path_beta_converted,7 medium,Use R3 beta-converted row set; no direct target correlation table was available in the combined coder trace.,No selected-coder numeric target rows excluded.,beta-converted rows; retain beta-conversion caveat in final freeze audit,Carry batch4 phase1 Pair B source-checked row draft into full-corpus freeze audit after remaining batch4 sub-batches are complete; do not start Step 5.,full_corpus_residual_batch4_phase1_pairB_reference_draft_20260608.csv; combined_coder_values_long_20260525.csv; full_corpus_residual_batch45_execution_manifest_20260608.csv; exact local PDF availability/text extraction check 20260608
S117,phase1,Pair B,245,exact_local_pdf_available_text_extraction_checked_not_committed,selected coder source locations and exact local PDF availability; final visual audit retained where row source-location strings are blank,reference_draft_created_from_R3_original_beta_rows_converted_peterson_brown,7,R3,7 standardized_path_beta_converted_from_original_beta,7 medium,Use R3 original-beta row set after Peterson-Brown conversion; original beta retained in original_beta column.,No selected-coder numeric target rows excluded.,original beta rows converted; retain beta-conversion caveat in final freeze audit,Carry batch4 phase1 Pair B source-checked row draft into full-corpus freeze audit after remaining batch4 sub-batches are complete; do not start Step 5.,full_corpus_residual_batch4_phase1_pairB_reference_draft_20260608.csv; combined_coder_values_long_20260525.csv; full_corpus_residual_batch45_execution_manifest_20260608.csv; exact local PDF availability/text extraction check 20260608
S176,phase1,Pair B,1214,exact_local_pdf_available_text_extraction_checked_not_committed,selected coder source locations and exact local PDF availability; final visual audit retained where row source-location strings are blank,reference_draft_created_from_R3_complete_direct_rows_with_final_visual_caveat,28,R3,28 source_reported_direct_correlation_or_latent_correlation,28 medium,Use R3 complete direct row set; R4 subset omits ATT/TRU/UB rows. Final visual audit should confirm source table labels because selected rows lack source-location strings.,Non-selected coder row set(s) not drafted: R4,selected rows are source-coder direct values but final visual table-label audit remains required,Carry batch4 phase1 Pair B source-checked row draft into full-corpus freeze audit after remaining batch4 sub-batches are complete; do not start Step 5.,full_corpus_residual_batch4_phase1_pairB_reference_draft_20260608.csv; combined_coder_values_long_20260525.csv; full_corpus_residual_batch45_execution_manifest_20260608.csv; exact local PDF availability/text extraction check 20260608
