route,parameter,estimate,parameter_family
paper_a_core7_att_mediation,PE_to_ATT,0.15689976387904633,structural_path
paper_a_core7_att_mediation,PE_to_BI,0.18695131531773174,structural_path
paper_a_core7_att_mediation,EE_to_ATT,0.12666003236198167,structural_path
paper_a_core7_att_mediation,EE_to_BI,0.12177565102129953,structural_path
paper_a_core7_att_mediation,SI_to_ATT,0.10744668883428198,structural_path
paper_a_core7_att_mediation,SI_to_BI,0.18964587662391247,structural_path
paper_a_core7_att_mediation,FC_to_ATT,0.33576322347565035,structural_path
paper_a_core7_att_mediation,FC_to_UB,0.33241135886694645,structural_path
paper_a_core7_att_mediation,ATT_to_BI,0.5118418128315849,structural_path
paper_a_core7_att_mediation,BI_to_UB,0.5753242303599648,structural_path
paper_a_core7_att_mediation,Cov_PE_EE,0.4828861976042246,exogenous_covariance
paper_a_core7_att_mediation,Cov_PE_SI,0.5604614653076219,exogenous_covariance
paper_a_core7_att_mediation,Cov_EE_SI,0.313971819687301,exogenous_covariance
paper_a_core7_att_mediation,Cov_PE_FC,0.48146047370446643,exogenous_covariance
paper_a_core7_att_mediation,Cov_EE_FC,0.558522379633463,exogenous_covariance
paper_a_core7_att_mediation,Cov_SI_FC,0.42187900664460076,exogenous_covariance
paper_a_core7_att_mediation,Var_e_ATT,0.659749310175956,residual_variance
paper_a_core7_att_mediation,Var_e_BI,0.3658780838847433,residual_variance
paper_a_core7_att_mediation,Var_e_UB,0.3642139213092167,residual_variance
