study_id,reference_record_id,phase_block,pair,sample_or_stratum,n,construct_1,construct_2,r_value,r_source,original_beta,source_location,evidence_type,mapping_confidence,decision_status,step3_decision_source,notes
S002,S002_full_sample_BI_EE,phase2,Pair D,full_sample,300,BI,EE,0.696,source_reported_pearson_or_latent_correlation,,S002.pdf Table 9,source_reported_direct_correlation_or_latent_correlation,high,included_reference_draft_residual_batch5_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch5 low-burden adjudication 20260608,Use R2 source-located Table 9 direct row set; R3 mostly duplicates values but lacks source-location strings and differs for FC-PE/FC-SI.
S002,S002_full_sample_BI_FC,phase2,Pair D,full_sample,300,BI,FC,0.799,source_reported_pearson_or_latent_correlation,,S002.pdf Table 9,source_reported_direct_correlation_or_latent_correlation,high,included_reference_draft_residual_batch5_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch5 low-burden adjudication 20260608,Use R2 source-located Table 9 direct row set; R3 mostly duplicates values but lacks source-location strings and differs for FC-PE/FC-SI.
S002,S002_full_sample_BI_PE,phase2,Pair D,full_sample,300,BI,PE,0.694,source_reported_pearson_or_latent_correlation,,S002.pdf Table 9,source_reported_direct_correlation_or_latent_correlation,high,included_reference_draft_residual_batch5_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch5 low-burden adjudication 20260608,Use R2 source-located Table 9 direct row set; R3 mostly duplicates values but lacks source-location strings and differs for FC-PE/FC-SI.
S002,S002_full_sample_BI_SI,phase2,Pair D,full_sample,300,BI,SI,0.724,source_reported_pearson_or_latent_correlation,,S002.pdf Table 9,source_reported_direct_correlation_or_latent_correlation,high,included_reference_draft_residual_batch5_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch5 low-burden adjudication 20260608,Use R2 source-located Table 9 direct row set; R3 mostly duplicates values but lacks source-location strings and differs for FC-PE/FC-SI.
S002,S002_full_sample_BI_UB,phase2,Pair D,full_sample,300,BI,UB,0.692,source_reported_pearson_or_latent_correlation,,S002.pdf Table 9,source_reported_direct_correlation_or_latent_correlation,high,included_reference_draft_residual_batch5_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch5 low-burden adjudication 20260608,Use R2 source-located Table 9 direct row set; R3 mostly duplicates values but lacks source-location strings and differs for FC-PE/FC-SI.
S002,S002_full_sample_EE_FC,phase2,Pair D,full_sample,300,EE,FC,0.602,source_reported_pearson_or_latent_correlation,,S002.pdf Table 9,source_reported_direct_correlation_or_latent_correlation,high,included_reference_draft_residual_batch5_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch5 low-burden adjudication 20260608,Use R2 source-located Table 9 direct row set; R3 mostly duplicates values but lacks source-location strings and differs for FC-PE/FC-SI.
S002,S002_full_sample_EE_PE,phase2,Pair D,full_sample,300,EE,PE,0.592,source_reported_pearson_or_latent_correlation,,S002.pdf Table 9,source_reported_direct_correlation_or_latent_correlation,high,included_reference_draft_residual_batch5_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch5 low-burden adjudication 20260608,Use R2 source-located Table 9 direct row set; R3 mostly duplicates values but lacks source-location strings and differs for FC-PE/FC-SI.
S002,S002_full_sample_EE_SI,phase2,Pair D,full_sample,300,EE,SI,0.569,source_reported_pearson_or_latent_correlation,,S002.pdf Table 9,source_reported_direct_correlation_or_latent_correlation,high,included_reference_draft_residual_batch5_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch5 low-burden adjudication 20260608,Use R2 source-located Table 9 direct row set; R3 mostly duplicates values but lacks source-location strings and differs for FC-PE/FC-SI.
S002,S002_full_sample_EE_UB,phase2,Pair D,full_sample,300,EE,UB,0.523,source_reported_pearson_or_latent_correlation,,S002.pdf Table 9,source_reported_direct_correlation_or_latent_correlation,high,included_reference_draft_residual_batch5_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch5 low-burden adjudication 20260608,Use R2 source-located Table 9 direct row set; R3 mostly duplicates values but lacks source-location strings and differs for FC-PE/FC-SI.
S002,S002_full_sample_FC_PE,phase2,Pair D,full_sample,300,FC,PE,0.694,source_reported_pearson_or_latent_correlation,,S002.pdf Table 9,source_reported_direct_correlation_or_latent_correlation,high,included_reference_draft_residual_batch5_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch5 low-burden adjudication 20260608,Use R2 source-located Table 9 direct row set; R3 mostly duplicates values but lacks source-location strings and differs for FC-PE/FC-SI.
S002,S002_full_sample_FC_SI,phase2,Pair D,full_sample,300,FC,SI,0.724,source_reported_pearson_or_latent_correlation,,S002.pdf Table 9,source_reported_direct_correlation_or_latent_correlation,high,included_reference_draft_residual_batch5_source_checked,combined_coder_values_long_20260525.csv; local source PDF availability/text extraction check 20260608; batch5 low-burden adjudication 20260608,Use R2 source-located Table 9 direct row set; R3 mostly duplicates values but lacks source-location strings and differs for FC-PE/FC-SI.
