study_id,reference_record_id,phase_block,pair,sample_or_stratum,n,construct_1,construct_2,r_value,r_source,original_beta,source_location,evidence_type,mapping_confidence,decision_status,step3_decision_source,notes
S005,S005_full_sample_ANX_BI,phase1,Pair A,full_sample,230,ANX,BI,0.174,source_reported_latent_correlation,,"S005.pdf Table 2 (Fornell-Larcker), p.970",fornell_larcker_off_diagonal_latent_correlation,high,included_reference_draft_phase1_rule_progress_source_checked,data/04_extraction/03_source_document_adjudication/phase1/decision_log_20260424.md; data/04_extraction/03_source_document_adjudication/phase1/coding_decision_application_check_20260425.md; combined_coder_values_long_20260525.csv; local source PDF text check 20260608,Logged rule applied: JOY rows and CON-to-FC rows are excluded; retained target rows are AIA/AISE/BITL/PU only.
S005,S005_full_sample_ANX_PE,phase1,Pair A,full_sample,230,ANX,PE,0.233,source_reported_latent_correlation,,"S005.pdf Table 2 (Fornell-Larcker), p.970",fornell_larcker_off_diagonal_latent_correlation,high,included_reference_draft_phase1_rule_progress_source_checked,data/04_extraction/03_source_document_adjudication/phase1/decision_log_20260424.md; data/04_extraction/03_source_document_adjudication/phase1/coding_decision_application_check_20260425.md; combined_coder_values_long_20260525.csv; local source PDF text check 20260608,Logged rule applied: JOY rows and CON-to-FC rows are excluded; retained target rows are AIA/AISE/BITL/PU only.
S005,S005_full_sample_ANX_SE,phase1,Pair A,full_sample,230,ANX,SE,0.173,source_reported_latent_correlation,,"S005.pdf Table 2 (Fornell-Larcker), p.970",fornell_larcker_off_diagonal_latent_correlation,high,included_reference_draft_phase1_rule_progress_source_checked,data/04_extraction/03_source_document_adjudication/phase1/decision_log_20260424.md; data/04_extraction/03_source_document_adjudication/phase1/coding_decision_application_check_20260425.md; combined_coder_values_long_20260525.csv; local source PDF text check 20260608,Logged rule applied: JOY rows and CON-to-FC rows are excluded; retained target rows are AIA/AISE/BITL/PU only.
S005,S005_full_sample_BI_PE,phase1,Pair A,full_sample,230,BI,PE,0.706,source_reported_latent_correlation,,"S005.pdf Table 2 (Fornell-Larcker), p.970",fornell_larcker_off_diagonal_latent_correlation,high,included_reference_draft_phase1_rule_progress_source_checked,data/04_extraction/03_source_document_adjudication/phase1/decision_log_20260424.md; data/04_extraction/03_source_document_adjudication/phase1/coding_decision_application_check_20260425.md; combined_coder_values_long_20260525.csv; local source PDF text check 20260608,Logged rule applied: JOY rows and CON-to-FC rows are excluded; retained target rows are AIA/AISE/BITL/PU only.
S005,S005_full_sample_BI_SE,phase1,Pair A,full_sample,230,BI,SE,0.722,source_reported_latent_correlation,,"S005.pdf Table 2 (Fornell-Larcker), p.970",fornell_larcker_off_diagonal_latent_correlation,high,included_reference_draft_phase1_rule_progress_source_checked,data/04_extraction/03_source_document_adjudication/phase1/decision_log_20260424.md; data/04_extraction/03_source_document_adjudication/phase1/coding_decision_application_check_20260425.md; combined_coder_values_long_20260525.csv; local source PDF text check 20260608,Logged rule applied: JOY rows and CON-to-FC rows are excluded; retained target rows are AIA/AISE/BITL/PU only.
S005,S005_full_sample_PE_SE,phase1,Pair A,full_sample,230,PE,SE,0.663,source_reported_latent_correlation,,"S005.pdf Table 2 (Fornell-Larcker), p.970",fornell_larcker_off_diagonal_latent_correlation,high,included_reference_draft_phase1_rule_progress_source_checked,data/04_extraction/03_source_document_adjudication/phase1/decision_log_20260424.md; data/04_extraction/03_source_document_adjudication/phase1/coding_decision_application_check_20260425.md; combined_coder_values_long_20260525.csv; local source PDF text check 20260608,Logged rule applied: JOY rows and CON-to-FC rows are excluded; retained target rows are AIA/AISE/BITL/PU only.
S011,S011_full_sample_ATT_BI,phase1,Pair A,full_sample,304,ATT,BI,0.241,beta_converted_peterson_brown,,S011.pdf Table 6,standardized_path_beta_converted,medium,included_reference_draft_phase1_rule_progress_source_checked_beta_conversion_caveat,data/04_extraction/03_source_document_adjudication/phase1/decision_log_20260424.md; data/04_extraction/03_source_document_adjudication/phase1/coding_decision_application_check_20260425.md; combined_coder_values_long_20260525.csv; local source PDF text check 20260608,Logged rule applied: retain TAM structural paths only; TTF-to-ATT and TTF-to-BI are not mapped to FC and are excluded.
S011,S011_full_sample_ATT_EE,phase1,Pair A,full_sample,304,ATT,EE,0.242,beta_converted_peterson_brown,,S011.pdf Table 6,standardized_path_beta_converted,medium,included_reference_draft_phase1_rule_progress_source_checked_beta_conversion_caveat,data/04_extraction/03_source_document_adjudication/phase1/decision_log_20260424.md; data/04_extraction/03_source_document_adjudication/phase1/coding_decision_application_check_20260425.md; combined_coder_values_long_20260525.csv; local source PDF text check 20260608,Logged rule applied: retain TAM structural paths only; TTF-to-ATT and TTF-to-BI are not mapped to FC and are excluded.
S011,S011_full_sample_ATT_PE,phase1,Pair A,full_sample,304,ATT,PE,0.227,beta_converted_peterson_brown,,S011.pdf Table 6,standardized_path_beta_converted,medium,included_reference_draft_phase1_rule_progress_source_checked_beta_conversion_caveat,data/04_extraction/03_source_document_adjudication/phase1/decision_log_20260424.md; data/04_extraction/03_source_document_adjudication/phase1/coding_decision_application_check_20260425.md; combined_coder_values_long_20260525.csv; local source PDF text check 20260608,Logged rule applied: retain TAM structural paths only; TTF-to-ATT and TTF-to-BI are not mapped to FC and are excluded.
S044,S044_full_sample_ATT_EE,phase1,Pair A,full_sample,441,ATT,EE,0.532,source_reported_direct_correlation,,S044.pdf Table 2,source_reported_direct_correlation_or_latent_correlation,high,included_reference_draft_phase1_rule_progress_source_checked,data/04_extraction/03_source_document_adjudication/phase1/decision_log_20260424.md; data/04_extraction/03_source_document_adjudication/phase1/coding_decision_application_check_20260425.md; combined_coder_values_long_20260525.csv; local source PDF text check 20260608,Logged rule applied: GAAIS Positive Attitudes toward AI is ATT; Negative Attitudes is not averaged into ATT.
